court_name,hearing_year,judgment_year,file
Federal Court,2008,2008,08_1737.txt
Federal Court,2008,2008,08_1284.txt
Federal Court of Australia,0,2008,08_1542.txt
Federal Court of Australia,0,2008,08_617.txt
Federal Court of Australia,0,2008,08_55.txt
Federal Court,2007,2008,08_63.txt
Federal Court,2008,2008,08_783.txt
Federal Court of Australia,2008,2008,08_1530.txt
Federal Court of Australia,2008,2008,08_1870.txt
Federal Court of Australia,2008,2008,08_1735.txt
Federal Magistrates Court,2008,2008,08_1765.txt
nan,0,2008,08_995.txt
nan,2008,2008,08_1879.txt
Federal Court,2008,2008,08_907.txt
Federal Court of Australia,2008,2008,08_1016.txt
Federal Court,2008,2008,08_1860.txt
Federal Court,0,2008,08_130.txt
Federal Magistrates Court,2008,2008,08_1408.txt
