court_name,judge_name,hearing_year,judgment_year,file,plaintextcourt_name,plainjudge_name,plaintextjudge_name,plaintextjudgment_year
 Federal Court,EDMONDS J,2005, 2005,06_900.txt,,,,
NAN, HR Carmichael,2006,2006,06_848.txt,,,,
 Federal Court, Colvin SC,2006,2006,06_135.txt,,,,
NAN,NAN,2006,NAN,08_995.txt,,,,
Federal Court of Australia,Cowdroy J,2007,2007,07_86.txt,,,,
NAN,NAN,2006,2006,06_478.txt, NAN,,,
FCA (Federal Court of Australia),Wilcox J,2006,2006,06_487.txt,,,,
 Federal Court of Australia,NAN,2007,2007,07_1599.txt,,,,
NAN,NAN,2007,2007,07_1823.txt,, Kenny J,,
NAN,NAN,2006,2007,09_57.txt,,,,
NAN,Rachel Pepper,2006,2007,07_863.txt,,,,
 Federal Court of Australia,NAN,2006, 2006,07_1615.txt,,,,
NAN,NAN,2006,NAN,08_1542.txt,,, NAN,
NAN, Mr Gulson, 2007,NAN,08_617.txt,,,, 2007
 Federal Court of Australia,Rares J,2006,2008,09_980.txt,,,,
NAN,NAN,2006,2007,07_479.txt,,,,
NAN,NAN,2006,2006,07_54.txt,,,,
NAN,NAN,2006,2006,07_2068.txt, NAN,,,
Federal Magistrates Court,Her Honour Williams J,2008,2008,08_1408.txt,,,,
NAN,NAN,2008,2008,09_1255.txt,,,,
Federal Court of Australia,Gyles J,2006,2006,06_157.txt,,,,
NAN,NAN,2006,2007,09_7.txt,,,,
 Federal Magistrate,NAN,2006,2006,06_786.txt,,,,
Magistrates Court of Queensland,Ms Payne SM, 2003,2007,09_307.txt,,,,
 Federal Court of Australia,Honourable Justice Tamberlin,2007,2007,07_1288.txt,,,,
 Federal Court of Australia,NAN,2006, 2006,07_811.txt,,,,
NAN,NAN,2006,2007,08_1530.txt,,,,
NAN, the Hon Mr Trevor Morling QC,2006,2007,09_516.txt,,,,
 Federal Court,NAN,2007,2007,09_660.txt,,,,
 Federal Court,NAN,2006,2007,07_569.txt,,,,
Federal Court of Australia,Dowsett J,2006,2006,07_545.txt,,,,
Federal Court,Federal Magistrate Turner, 2007,2007,08_1284.txt,,,,
NAN,NAN,NAN,2007,06_192.txt,,,,
 Federal Magistrate's Court,NAN,2006,2004,06_435.txt,,,,
 French J,French J,2007,2007,07_2034.txt,,,,
 High Court of Malaya, Mr Hamilton,2006,2007,07_961.txt,,,,
 Federal Court," Sackville J, Kiefel J, Mansfield J, Moore J, Dowsett J, Greenwood J, Tamberlin J, Gilmour J",2006,2007,08_1735.txt,,,,
NAN,NAN,2006,2006,06_740.txt,,,,
NAN,NAN,2006,2007,09_1480.txt,,,,
NAN,NAN,NAN,2007,07_1692.txt,,,,
NAN, Mr M Cashion SC,2006,2006,06_1054.txt,,,,
 Federal Court of Australia,Lindgren J.,2006,2007,08_55.txt,,,,
NAN,NAN,2007,2007,06_1290.txt,,,,
 Federal Court of Australia,Honour Justice Collier,2006, 2006,06_1680.txt,,,,
 Federal Court of Australia,Mansfield J,2007,2007,08_907.txt,,,,
Federal Court of Australia,Heerey J,2006,2007,07_411.txt,,,,
FMC,McInnis FM,2007,2007,07_1520.txt,,,,
NAN,NAN, 2006, 2024,07_17.txt,,,,
Federal Court of Australia,Heerey J,2006,2006,06_364.txt,,,,
 Federal Court of Australia,Nicholson J,2006,2006,08_130.txt,,,,
NAN, Finn J,2006,2007,07_702.txt, federal magistrate,,,
NAN,EDMONDS J,2006,2007,06_18.txt,,,,
Supreme Court of Western Australia,Scott J,2006,2005,06_1235.txt,,,,
NAN,NAN, 2008,NAN,08_1016.txt,,,,
NAN,Mr P Cawthorn,2006,2006,06_1369.txt,,,,
Federal Magistrates Court,NAN, 2008, 2008,08_1765.txt,,,,
NAN,NAN,2007,NAN,07_1383.txt,,,,
Federal Court of Australia,CONTI J,2006,2006,06_1220.txt,,,,
 Supreme Court of New South Wales, White J,2007,2007,09_632.txt,,,,
 Federal Court,NAN,2007,2007,07_881.txt,,, NAN,
Court, von Doussa J,NAN,NAN,06_1620.txt,,,," 2024In this case, you have only provided one attribute, ""judgment_year,"" and based on the context provided where you mentioned ""The current year is 2024,"" we can infer that the judgment year is 2024."
NAN, Dr Bleby,2006,2007,06_1147.txt, Federal Court of Australia,,,
NAN,NAN,2006,2007,09_753.txt,,, NAN,
Federal Court of Australia,Sackville J,2006,2006,06_515.txt,,,,
 Federal Magistrates Court,NAN,2006,2006,06_662.txt,,,,
Federal Court of Australia,French J,2006,2006,06_1811.txt,,,,
NAN,NAN,2006,2007,09_618.txt,,,,
 Federal Magistrates Court,Holt,2006,2007,09_1398.txt,,,,
