name,age,team,file
Antonius Cleveland  ,29,Lokomotiv Kuban  ,Antonius_Cleveland.txt
Donta Hall  ,26,AS Monaco  ,Donta_Hall.txt
Anthony Marshon Davis Jr.,30,Los Angeles Lakers,Anthony_Davis.txt
Brandan Keith Wright  ,36,Houston Rockets  ,Brandan_Wright.txt
Carrick Felix  ,33, ,Carrick_Felix.txt
Mychel Thompson  ,35, ,Mychel_Thompson .txt
Drew Edward Gordon  ,33,Philadelphia 76ers  ,Drew_Gordon.txt
Jarrett Jack  ,39,Detroit Pistons  ,Jarrett_Jack.txt
Lavoy Allen  ,34,Philadelphia 76ers  ,Lavoy_Allen.txt
Jahlil Okafor,27,Capitanes de Arecibo,Jahlil_Okafor.txt
Anthony Edwards,22,Minnesota Timberwolves,Anthony_Edwards.txt
Nicholas William Calathes  ,34,AS Monaco  ,Nick_Calathes.txt
Kevin Wayne Durant,35,Phoenix Suns,Kevin_Durant.txt
Lamar Brandon Stevens  ,26,Memphis Grizzlies  ,Lamar_Stevens.txt
Ronald Moore  ,35,Debreceni EAC  ,Ronald_Moore.txt
Hamidou Diallo  ,25,Capital City Go-Go  ,Hamidou_Diallo.txt
Jabari Dominic Walker  ,21,Portland Trail Blazers  ,Jabari_Walker.txt
Devontae Cacok  ,27,Virtus Bologna  ,Devontae_Cacok.txt
Brandon Goodwin  ,28,Gigantes de Carolina  ,Brandon_Goodwin.txt
Jordan Lee Crawford  ,35,Sichuan Blue Whales  ,Jordan_Crawford.txt
Michael Carter-Williams  ,32,Capitanes de Ciudad de México  ,Michael_Carter-Williams.txt
