name,team,position,file
Jordan Crawford,Sichuan Blue Whales, professional basketball player for the Sichuan Blue Whales of the Chinese Basketball Association (CBA),Jordan_Crawford.txt
David Michineau,Bursaspor Basketbol,guard,David_Michineau.txt
Anthony Edwards,Minnesota Timberwolves,shooting guard,Anthony_Edwards.txt
Askia Jones,NAN,shooting guard,Askia_Jones.txt
Erick Strickland," New York Knicks, Vancouver Grizzlies, Boston Celtics, Indiana Pacers, Milwaukee Bucks, Dallas Mavericks",NAN,Erick_Strickland.txt
Tony Delk, Kentucky Wildcats, professional basketball player,Tony_Delk.txt
Joseph Xavier Forte,NAN, American former professional basketball player,Joseph_Forte.txt
Nick Calathes,AS Monaco,guard,Nick_Calathes.txt
William Severlyn Hewitt,Los Angeles Lakers,forward,Bill_Hewitt.txt
Nikola Radičević,Cedevita Olimpija,point guard,Nikola_Radi.txt
Jarrett Matthew Jack,Detroit Pistons,assistant coach,Jarrett_Jack.txt
Aaron Jamal Crawford,NAN,guard,Jamal_Crawford.txt
Kermit Washington,Los Angeles Lakers,forward,Kermit_Washington.txt
