name,draft_pick,draft_year,file
Anthony Marshon Davis Jr.,1,2012,Anthony_Davis.txt
Brandan Keith Wright  ,8,2007,Brandan_Wright.txt
Philip Douglas Jackson  ,2,1967,Phil_Jackson.txt
Magic Johnson  ,1,1979,Magic_Johnson.txt
Jahlil Okafor,3,2015,Jahlil_Okafor.txt
Tim Duncan,1,1997,Tim_Duncan.txt
Anthony Edwards,1,2020,Anthony_Edwards.txt
Larry Robinson,10000,0,Larry_Robinson.txt
Kevin Wayne Durant,2,2007,Kevin_Durant.txt
Erazem Lorbek  ,2,2005,Erazem_Lorbek.txt
Steve Kerr  ,50,1988,Steve_Kerr.txt
Michael Carter-Williams  ,11,2013,Michael_Carter-Williams.txt
