university_name,academic_calendar,total_undergraduate_enrollment
Concordia River Forest,semester-based,"1,270"
United States Coast Guard Academy,semester-based,973
Morningside College,semester-based,1239
Chestnut Hill College,semester-based,1480
North Carolina Wesleyan College,semester-based,1449
Crown College,semester-based,1061
College of Mount St. Vincent,semester-based,1555
Virginia Union University,semester-based,"1,307"
Columbia College SC,semester-based,"1,189"
Freed-Hardeman University,semester-based,1496
Harvey Mudd College,semester-based,757
Jamestown College,semester-based,"1,010"
Woodbury University,semester-based,"1,301"
St. Joseph's College,semester-based,"1,010"
Rollins College,semester-based,"1,773"
Westmont College,semester-based,"1,304"
Catawba College,semester-based,"1,324"
Wesleyan College,semester-based,624
Santa Fe University of Art and Design,semester-based,195
New England College,semester-based,"1,014"
Piedmont College,semester-based,"1,268"
