university_name,academic_calendar,campus_size,file
Barton College,4-1-4-based,76 acres,47
Union University,4-1-4-based,360 acres,630
Massachusetts Maritime Academy,4-1-4-based,55 acres,255
Davis and Elkins College,4-1-4-based,170,997
Hampshire College,4-1-4-based,800 acres,128
Oklahoma Baptist University,4-1-4-based,200 acres,384
Hastings College,4-1-4-based,109 acres,137
Williams College,4-1-4-based,450 acres,884
Converse College,4-1-4-based,70 acres,975
Hamline University,4-1-4-based,60 acres,126
Tabor College,4-1-4-based,70 acres,574
New College of Florida,4-1-4-based,114 acres,341
Bethel University,4-1-4-based,247 acres,319
