university_name,setting,total_undergraduate_enrollment
Knox College,urban,1470
Montana Tech of the University of Montana,Urban,1560
Barton College,urban,1150
Macalester College,urban,1996
Columbia College SC,urban,1189
Oklahoma Baptist University,urban,1714
Santa Fe University of Art and Design,urban,195
Briar Cliff University,urban,1079
Jamestown College,urban,1010
Converse College,urban,729
Hamline University,urban,1921
Lawrence University,urban,1495
College of Mount St. Vincent,urban,1555
Virginia Union University,Urban,1307
