university_name,year_founded,setting,plaintextuniversity_name,plaintextsetting,suburban,- setting,plaintextyear_founded
 College of St. Scholastica, 1912,suburban,,,,,
 University of Rochester,1850,suburban,,,,,
Colorado Christian University,1914,suburban,,,,,
University of California--Santa Cruz, 1965,suburban,,,,,
,1927,suburban,Masters College California,,,,
Florida Gulf Coast University,1991,suburban,,,,,
University of Mary Washington,1908,suburban,,,,,
Concordia University Chicago, 1864,suburban,,,,,
Pacific Lutheran University, 1890,suburban,,,,,
Carthage College,1847,suburban,,,,,
 Vassar College,1861,suburban,,,,,
Rhode Island College, 1854,suburban,,,,,
Dominican University, 1901,suburban,,,,,
Monmouth University,1933, suburban,,,,,
Curry College,1879,suburban,,,,,
Baptist Bible College,1932,suburban,,,,,
 United States Coast Guard Academy, 1931,suburban,,,,,
Boston College,1863,suburban,,,,,
Benedictine University,1887, suburban,,,,,
New College of Florida,2001,,,suburban,,,
Siena College,1937,suburban,,,,,
 College of St. Elizabeth, 1899,suburban,,,,,
,1915,suburban, Marywood University,,,,
Rockford College,1847,suburban,,,,,
 College of Idaho,1891,suburban,,,,,
 St. John Fisher College,1948,suburban,,,,,
Berry College,1902,suburban,,,,,
 Calvin College,1876,suburban,,,,,
Chestnut Hill College,1924,,,, suburban,,
Concordia University Texas, 1926,suburban,,,,,
 University of Dayton, 1850, suburban,,,,,
 University of Richmond,1830,suburban,,,,,
McDaniel College,1867,suburban,,,,,
 United States Merchant Marine Academy,1943,suburban,,,,,
 North Carolina Wesleyan College, 1956, suburban,,,,,
Pitzer College,1963, suburban,,,,,
St. Gregory's University,1875,suburban,,,,,
Felician College,1942,suburban,,,,,
Westfield State College, 1838, suburban,,,,,
Allegheny College,1815,suburban,,,,,
Whitworth University, 1890,suburban,,,,,
Fairfield University,1942, suburban,,,,,
,1864,,Swarthmore College,,, suburban,
,1887,urban,Nebraska Wesleyan University,,,,
 Le Moyne College,1946,suburban,,,,,
Southeastern University,1935,suburban,,,,,
 Emory University,1836,suburban,,,,,
Arcadia University,1853,suburban,,,,,
Wake Forest University,1834, suburban,,,,,
University of North Carolina--Charlotte,1946,suburban,,,,,
 Oberlin College, 1833,suburban,,,,,
Endicott College,1939,suburban,,,,,
Texas State University,1899,suburban,,,,,
Northwestern University,1851,suburban,,,,,
