university_name,year_founded,rank,file
Jamestown College,1884,41,0173.txt
Briar Cliff University,1930,29,0588.txt
Lawrence University,1847,67,0204.txt
University of South Carolina--Upstate,1967,28,0748.txt
Union College,1795,41,0628.txt
Pennsylvania College of Technology,1941,31,0402.txt
Touro College,1971,97,0616.txt
Syracuse University,1870,55,0573.txt
George Washington University,1821,51,0104.txt
University of California--Riverside,1954,94,0649.txt
Georgia Institute of Technology,1885,35,0106.txt
Georgetown University,1789,21,0103.txt
Santa Fe University of Art and Design,1874,80,0467.txt
University of North Carolina--Wilmington,1947,13,0723.txt
California State University--Fresno,1911,44,0859.txt
Barnard College,1889,26,0046.txt
St. Louis University,1818,86,0537.txt
Barton College,1902,42,0047.txt
University of California--Davis,1905,39,0646.txt
Montana Tech of the University of Montana,1893,10,0295.txt
California State University--Fullerton,1957,37,0860.txt
New York University,1831,33,0347.txt
Oklahoma Baptist University,1910,2,0384.txt
Macalester College,1874,26,0232.txt
Knox College,1837,75,0193.txt
Rensselaer Polytechnic Institute,1824,41,0434.txt
Tulane University,1834,51,0626.txt
Converse College,1889,15,0975.txt
Columbia College SC,1854,56,0962.txt
Brigham Young University--Idaho,1888,21,0590.txt
Virginia Union University,1865,64,0803.txt
Union University,1823,15,0630.txt
