university_name,year_founded,setting,file
College of William and Mary,1693,suburban,0955.txt
Macalester College,1874,urban,0232.txt
Morningside College,1894,suburban,0326.txt
Columbia College SC,1854,urban,0962.txt
Concordia University Chicago,1864,suburban,0969.txt
Southeastern University,1935,suburban,0489.txt
Tulane University,1834,urban,0626.txt
New York University,-10000,urban,0347.txt
Syracuse University,1870,urban,0573.txt
Santa Fe University of Art and Design,1874,urban,0467.txt
Georgia Institute of Technology,1885,urban,0106.txt
Denison University,1831,suburban,1001.txt
Jamestown College,1884,urban,0173.txt
Freed-Hardeman University,1869,rural,0092.txt
New England College,1946,rural,0342.txt
Drake University,1881,urban,1011.txt
Harvey Mudd College,1955,suburban,0136.txt
Rensselaer Polytechnic Institute,1824,urban,0434.txt
Georgetown University,1789,urban,0103.txt
Woodbury University,1884,suburban,0894.txt
Virginia Tech,1872,rural,0802.txt
North Carolina Wesleyan College,1956,suburban,0351.txt
Barnard College,1889,urban,0046.txt
St. Joseph's College,1889,rural,0532.txt
Shepherd University,1871,rural,0477.txt
