university_name,year_founded,file
College of William and Mary,1693,0955.txt
Knox College,1837,0193.txt
Union College,1795,0628.txt
Union University,1823,0630.txt
Wake Forest University,1834,0806.txt
Tulane University,1834,0626.txt
St. Louis University,1818,0537.txt
Hollins University ,1842,0149.txt
Williams College,1793,0884.txt
Denison University,1831,1001.txt
Rensselaer Polytechnic Institute,1824,0434.txt
Georgetown University,1789,0103.txt
Lawrence University,1847,0204.txt
George Washington University,1821,0104.txt
Virginia Commonwealth University,1838,0799.txt
College of Mount St. Vincent,1847,0943.txt
Wesleyan College,1836,0826.txt
