university_name,total_undergraduate_enrollment,file
Knox College,1470,0193.txt
Montana Tech of the University of Montana,1560,0295.txt
Barton College,1150,0047.txt
Cornell College ,1133,0978.txt
Morningside College,1239,0326.txt
Columbia College SC,1189,0962.txt
Massachusetts Maritime Academy,1185,0255.txt
Rollins College,1773,0450.txt
University of Science and Arts of Oklahoma,1087,0742.txt
Concordia University Chicago,1270,0969.txt
Southeastern University,1665,0489.txt
Davis and Elkins College,710,0997.txt
Hampshire College,1463,0128.txt
College of the Atlantic,336,0952.txt
Catawba College,1324,0907.txt
Oklahoma Baptist University,1714,0384.txt
Hollins University ,796,0149.txt
Hastings College,1104,0137.txt
Santa Fe University of Art and Design,195,0467.txt
Briar Cliff University,1079,0588.txt
College of Idaho,1002,0941.txt
Jamestown College,1010,0173.txt
Freed-Hardeman University,1496,0092.txt
New England College,1014,0342.txt
Harvey Mudd College,757,0136.txt
Coast Guard Academy ,973,0632.txt
Converse College,729,0975.txt
Lawrence University,1495,0204.txt
Westmont College ,1304,0842.txt
Woodbury University,1301,0894.txt
United States Merchant Marine Academy ,964,0633.txt
Crown College,1061,0982.txt
Tabor College,618,0574.txt
North Carolina Wesleyan College,1449,0351.txt
College of Mount St. Vincent,1555,0943.txt
New College of Florida,825,0341.txt
Piedmont College,1268,0409.txt
Virginia Union University,1307,0803.txt
Chestnut Hill College,1480,0922.txt
Wesleyan College,624,0826.txt
St. Joseph's College,1010,0532.txt
