university_name,year_founded,rank,file
Union University,1823,15,0630.txt
Massachusetts Maritime Academy,1891,13,0255.txt
University of Science and Arts of Oklahoma,1908,14,0742.txt
Catawba College,1851,15,0907.txt
Hastings College,1882,174,0137.txt
Williams College,1793,1,0884.txt
Harvey Mudd College,1955,18,0136.txt
Coast Guard Academy ,1931,1,0632.txt
Converse College,1889,15,0975.txt
Hamline University,1854,9,0126.txt
United States Merchant Marine Academy ,1943,3,0633.txt
Bethel University,1871,17,0319.txt
