song_title,artist_name,album_name,release_year,genre,duration,country_of_origin,file
View of the World from 9th Avenue,Saul Steinberg,The New Yorker,1976,,,,View_of_the_World_from_9th_Avenue
Aerith Gainsborough,"Tetsuya Nomura, Yoshinori Kitase, Hironobu Sakaguchi, Yoshitaka Amano","Final Fantasy VII, Final Fantasy Tactics, Compilation of Final Fantasy VII, Kingdom Hearts series",,,,Japan,Aerith_Gainsborough
"""Kiss You""","""One Direction""","""Take Me Home""",2013,,"""3:04""",,Kiss_You_(_One_Direction_song_)
"""Underneath""","""Unknown""",,2002,,,,Underneath_(_The_X_@-@_Files_)
"""Chapter 1""",Kevin Spacey,,2013,,,American,Chapter_1_(_House_of_Cards_)
"""Exit Through the Kwik @-@ E @-@ Mart""",Banksy,,2012,,,American,Exit_Through_the_Kwik_@-@_E_@-@_Mart
M-122,,,,,,,M_@-@_122_(_Michigan_highway_)
"""Training Day""","""Will Ferrell""",,2011,,,American,Training_Day_(_The_Office_)
"""Monty Can't Buy Me Love""",,,1999,,,United States,Monty_Can_'t_Buy_Me_Love
Little Gidding,T. S. Eliot,,1942,,,,Little_Gidding_(_poem_)
Battle of Dürenstein,N/A,,,,,,Battle_of_Dürenstein
"""Boy @-@ Scoutz ' n the Hood""",,,1993,,,United States,Boy_@-@_Scoutz_'_n_the_Hood
Imagine,John Lennon,,1971,,3 minutes and 3 seconds,England,Imagine_(_John_Lennon_song_)
The Hope Highway,,,,,,,Hope_Highway
Typhoon Imbudo,,,,,,,Typhoon_Imbudo
"""S.R. 819""",,,1999,,,United States,S.R._819
"""Route 50""",,,,,,United States,New_Jersey_Route_50
The Actor's Children,Nicholas Jordan,,,,,American,The_Actor_'s_Children
"""Something Borrowed""","John Barrowman, Eve Myles, Burn Gorman, Naoko Mori, Gareth David Lloyd, Kai Owen",,2008,"Science fiction, comedy, soap opera",,United Kingdom,Something_Borrowed_(_Torchwood_)
SR 516,,,,,,,Washington_State_Route_516
"""True Blue""",Madonna,True Blue,1986,dance-pop,,United States,True_Blue_(_Madonna_song_)
Polka Party !,"""Weird Al"" Yankovic",Polka Party !,1986,,,,Polka_Party_!
Old Baltimore Pike,,,,,,,Old_Baltimore_Pike
"""The Same Old Story""",,,2008,,,,The_Same_Old_Story
Tristan,,,,,,British,Tristan_(_horse_)
Sholay,"Dharmendra, Amitabh Bachchan, Sanjeev Kumar, Amjad Khan, Hema Malini, Jaya Bhaduri",,1975,,,India,Sholay
The Secret of Monkey Island,,,1990,,,,The_Secret_of_Monkey_Island
USS Illinois (BB-7),,,,,,United States,USS_Illinois_(_BB_@-@_7_)
"Save Percentage ",,,,,,,Saves_;_Sv_%
(empty),(empty),,1942,,,United States,T30_Howitzer_Motor_Carriage
"Ghost in the Shell ",N/A,,,"science fiction, action, spy thriller, anime",,,Ghost_in_the_Shell_:_Stand_Alone_Complex_-_Solid_State_Society
Rockstar 101,Rihanna,Rated R,2010,,3 minutes and fifty-eight seconds,,Rockstar_101
A Month in the Country,"Colin Firth, Kenneth Branagh, Natasha Richardson, Patrick Malahide",,1987,,,British,A_Month_in_the_Country_(_film_)
"Nazarov cyclization, Nazarov cyclization, Nazarov cyclization",Ivan Nikolaevich Nazarov,,1941,"organic chemistry, synthesis of cyclopentenones",,,Nazarov_cyclization_reaction
Aretusa,,,,,,,Italian_cruiser_Aretusa
