team_name,found_year,location,owner,manager,sport,file
"""""",,"""Louisville, Kentucky""","""""","""""","""""",J._C._W._Beckham
House of Cards ,,,,,,Chapter_1_(_House_of_Cards_)
The Simpsons,,,,,,Exit_Through_the_Kwik_@-@_E_@-@_Mart
M @-@ 122,,,,,,M_@-@_122_(_Michigan_highway_)
The Office,,"Scranton, Pennsylvania",,Deangelo Vickers,,Training_Day_(_The_Office_)
Vasco da Gama,,"London, England",,,,Portuguese_ironclad_Vasco_da_Gama
Boy @-@ Scoutz ' n the Hood,,,,,,Boy_@-@_Scoutz_'_n_the_Hood
Calvin McCarty,,,,,Canadian football,Calvin_McCarty
Imagine,,,,,,Imagine_(_John_Lennon_song_)
Romanian Land Forces,,,,,,Romanian_Land_Forces
The Actor's Children,,"New Rochelle, New York",,,,The_Actor_'s_Children
Slammiversary,,"Southaven, Mississippi",,,professional wrestling,Slammiversary_(_2008_)
Dover Athletic Football Club,,"Dover, Kent, England",,"Alan Jones, Steve McRae, Chris Kinnear",association football,Dover_Athletic_F.C.
"Thomas "" Tommy "" Lawton",,,,,football,Tommy_Lawton
Fringe,,,,,,The_Same_Old_Story
Boston Celtics,,,,,basketball,Brad_Stevens
Tristan,,,C. J. Lefevre,Tom Jennings,Thoroughbred racing,Tristan_(_horse_)
Bradford City,,,,,football,Stuart_McCall
USS Illinois,,"Newport News, Virginia",,,Navy battleship,USS_Illinois_(_BB_@-@_7_)
Blue Jackets,,Columbus,,Todd Richards,NHL,Saves_;_Sv_%
Central Area Command,,New South Wales,,,,Central_Area_Command_(_RAAF_)
March Engineering,,,,,Formula One racing,Max_Mosley
Aretusa,,Italian Eritrea,,,,Italian_cruiser_Aretusa
Alabama Crimson Tide football team,,"Tuscaloosa, Alabama",,Nick Saban,football,2010_Alabama_Crimson_Tide_football_team
