court_name,judge_name,hearing_year,judgment_year,file
 Federal Court of Bankruptcy,NAN,2004,2004,06_900.txt
Federal Court,Honourable Justice Logan,2009,2009,09_1154.txt
NAN,Honourable Justice Young,2006,2006,06_848.txt
Federal Court of Australia,Cowdroy J,2007,2007,07_86.txt
Federal Magistrates Court,Honourable Justice Moore,2006,2006,06_478.txt
Federal Court, Stone J,2009,2009,09_372.txt
Federal Court, Mr Thang Gia Uy Vo,2007,2007,07_1599.txt
Federal Court of Australia, Justice Cooper,2009,2009,09_789.txt
Federal Court of Australia, Mr C Golvan SC,NAN, 2024,07_1823.txt
Federal Court of Australia, Mr S Burley SC, 2008, 2009,09_57.txt
Federal Magistrates Court,Driver FM,2007,2007,07_863.txt
 Federal Court of Australia," Branson J, Bennett J, Finkelstein J, Gilmour J, Graham J, Lander J",NAN, 2008,09_217.txt
Federal Court of Australia,NAN,2009,2009,08_1542.txt
 Federal Court, Jagot,2009,2009,09_570.txt
NAN, Mr Justice Rares,2007,2007,08_617.txt
Federal Court,Justice Foster,2008,2008,09_980.txt
NAN,Middleton J,2009,2009,09_87.txt
 Federal Magistrates Court, Scarlett FM, 2006, 2006,07_479.txt
NAN, Mr Simon Couper QC,2006, 2007,07_54.txt
NAN,Jacobson, 2005, 2024,07_2068.txt
 Supreme Court of Victoria, Justice Williams,2009,2008,08_1408.txt
NAN,NAN,2009,2009,09_1391.txt
 Federal Court of Australia,NAN,2009,2009,09_1255.txt
Federal Court,Honourable Justice Gordon,2009,2009,09_1122.txt
NAN,Jacobson,NAN, 2006,09_7.txt
Federal Magistrates Court,Honourable Justice Moore,2006,2006,06_786.txt
Magistrates Court of Queensland,Ms Payne SM,2003, 2003,09_307.txt
Federal Court, Flick J,2007,2007,08_63.txt
 Federal Court of Australia,The Honourable Justice Tamberlin, 2024, 2007,07_1288.txt
Federal Court,Jacobson,2006,2006,07_811.txt
 Federal Court, Ms M Brennan,2006,2009,08_1530.txt
NAN,Jacobson,NAN,NAN,09_516.txt
Federal Court,Jacobson,2009,2009,09_660.txt
Federal Court, S M Littlemore QC,2007,2007,07_569.txt
NAN,Jacobson,2006,2006,07_545.txt
NAN,NAN,2008,2008,08_1870.txt
NAN, Wilcox J,2006, 2006,06_192.txt
 High Court of Malaya,Honourable Justice Lindgren,2007,2007,07_961.txt
Federal Court,NAN,2008,2008,08_1735.txt
NAN, Mr P Jooste QC,2009,2009,09_26.txt
Federal Magistrate,His Honour,2009,2009,09_841.txt
 Honourable Justice Marshall,Honourable Justice Marshall,2003,2006,06_740.txt
NAN,NAN,2009,2009,09_1480.txt
NAN,Jacobson,2007,2007,07_1692.txt
NAN,NAN,2006,2006,06_1054.txt
Federal Court,Jacobson, 2008,2008,08_1897.txt
NAN,Jacob A. Sullivan QC and S Habib Clayton Utz,2007, 2007,07_1445.txt
 Federal Court of Australia,The Honourable Justice Siopis,2009,2009,09_484.txt
NAN,NAN, 2008, 2008,08_1879.txt
 Federal Court of Australia, Lindgren J,2009,2009,09_1058.txt
Federal Magistrates Court,Jagot J,2009,2009,09_902.txt
 Federal Court of Australia,Honourable Justice Collier,2006,2006,06_1680.txt
Court,Mansfield J,2005,2005,08_907.txt
FEDERAL COURT OF AUSTRALIA,Heerey J,2007,2007,07_411.txt
 Federal Magistrates Court, DH Solomon Solomon Brothers,2005,2005,06_548.txt
 Federal Magistrate,his Honour, 2024, 2006,06_41.txt
 Administrative Appeals Tribunal,Senior Member Allen, 2007, 2007,07_7.txt
Federal Court,His Honour,2009,2009,09_1477.txt
 Federal Court of Australia,J Jacobson,2006,2006,08_130.txt
NAN, Finn J,2006,2007,07_702.txt
NAN,NAN,2009,2005,06_18.txt
Supreme Court of Western Australia,NAN,1990,2006,06_1235.txt
 New South Wales Court of Appeal, Spigelman CJ,2006,2006,06_1369.txt
 FMC,Jacobson, 2024, 2007,08_1765.txt
NAN,NAN,2007,2007,07_1383.txt
FEDERAL COURT OF AUSTRALIA,CONTI J,2006,2006,06_1220.txt
Supreme Court of New South Wales,Jacobson,2009,2009,09_632.txt
Federal Court,NAN,2024,2024,07_881.txt
NAN, Mr SC Russell,2009,2009,09_1205.txt
 Federal Court of Australia,Jacobson,2006,2006,06_1147.txt
 Federal Court of Australia, Sackville J,2004-2005,2024,09_753.txt
Western Australian Magistrates Court,G N Calder,2009, 2009,09_394.txt
NAN,NAN,2009,2009,09_1399.txt
Federal Court,NAN,2024,2024,08_783.txt
Federal Magistrates Court,Honourable Justice Besanko,2006,2006,06_662.txt
Western Australian Magistrates Court,Magistrate GN Calder,2009,2009,09_618.txt
County Court of Victoria,Judge Holt,2009,2009,09_1398.txt
