court_name,judge_name,judgment_year,file
Federal Magistrates Court,Gray,2009,09_1398.txt
Western Australian Magistrates Court,Magistrate GN Calder,2009,09_618.txt
Federal Court,Justice Spender,2009,09_57.txt
Administrative Appeals Tribunal,Finn,2006,06_1620.txt
Federal Court of Australia,Graham,2009,09_7.txt
Federal Magistrates Court,not mentioned,2009,09_217.txt
Federal Court,Federal Magistrate Turner,2008,08_1284.txt
Federal Court of Australia,Logan,2008,08_55.txt
Federal Magistrates Court of Australia,Besanko,2006,06_662.txt
Federal Court of Australia,French J,2007,07_2034.txt
Federal Court,Judge Jagot J,2009,09_902.txt
Federal Court of Australia,Collier,2009,09_1205.txt
Federal Magistrates Court,Moore,2006,06_478.txt
Federal Court,Besanko,2009,09_1480.txt
Federal Court of Australia,Logan,2009,09_1154.txt
Federal Court of Australia,Greenwood,2009,09_789.txt
Federal Court,Cowdroy,2009,09_1391.txt
Federal Court of Australia,Logan,2009,09_1399.txt
Federal Court of Australia,Siopis,2009,09_26.txt
Federal Court of Australia,Jacobson,2009,09_516.txt
Federal Court,Jacobson,2008,08_783.txt
This Court,Lindgren,2009,09_632.txt
Federal Magistrate,Barker,2009,09_841.txt
Federal Magistrates Court,Driver FM,2007,07_863.txt
Federal Court,Nicholas,2009,09_1477.txt
Western Australian Magistrates Court at Perth,His Honour Magistrate G N Calder,2009,09_394.txt
Federal Court of Australia,Cowdroy J,2007,07_86.txt
Magistrates Court of Queensland,Ms Payne,2009,09_307.txt
Federal Court,Justice Cowdroy,2009,09_87.txt
Federal Magistrates Court,Middleton,2007,07_702.txt
Federal Court,Jagot,2009,09_570.txt
FCA (Federal Court of Australia),Stone,2007,07_7.txt
Federal Court,Gordon,2009,09_1122.txt
Federal Court,nan,2009,09_372.txt
Federal Court,Jessup,2009,09_660.txt
Federal Court,Foster,2009,09_980.txt
Federal Court of Australia,Siopis,2009,09_484.txt
Federal Court of Australia,Flick,2009,09_1058.txt
