court_name,hearing_year,charges,file
Federal Court,2008,Contravention of s 52 of the Trade Practices Act 1974 Cth,09_980.txt
NAN, 2024,Contravention of s 52 of the Trade Practices Act 1974 Cth,09_87.txt
NAN,2006,Contravention of s 52 of the Trade Practices Act 1974 Cth,07_54.txt
NAN,2006,Contravention of s 52 of the Trade Practices Act 1974 Cth,09_7.txt
Federal Court,2006,Contravention of s 52 of the Trade Practices Act 1974 Cth,07_811.txt
NAN,2009,Contravention of s 52 of the Trade Practices Act 1974 Cth,09_516.txt
NAN,2006,Contravention of s 52 of the Trade Practices Act 1974 Cth,06_192.txt
NAN,2007,Contravention of s 52 of the Trade Practices Act 1974 Cth,07_2034.txt
 Federal Court of Australia, 2024,Contravention of s 52 of the Trade Practices Act 1974 Cth,08_1735.txt
NAN,2009,Contravention of s 52 of the Trade Practices Act 1974 Cth,09_1480.txt
 Federal Court of Australia,2007,Contravention of ss 52 and 53 of the Trade Practices Act 1974 (Cth),08_55.txt
 Federal Court of Australia,2009,Contravention of s 52 of the Trade Practices Act 1974 Cth,09_1058.txt
FEDERAL COURT OF AUSTRALIA,2006,"Contravention of ss 52, 53 (c) and 53 (d) of the Trade Practices Act 1974 (Cth)",06_364.txt
Federal Court of Australia,2008,Contravention of s 52 of the Trade Practices Act 1974 Cth,08_1112.txt
NAN,2007,Contravention of s 52 of the Trade Practices Act 1974 Cth,07_1383.txt
