court_name,hearing_year,legal_basis,file
 this Court,2008, the Cross-Border Insolvency Act 2008 (Cth),09_372.txt
Federal Court,2008, Federal Court of Australia Act 1976 (Cth),09_57.txt
 Federal Court of Australia,2008, Trade Marks Act 1955 (Cth),08_1542.txt
 Federal Court,2008, Bankruptcy Act 1966 (Cth),09_570.txt
 Federal Court of Australia,2008, Corporations Act 2001 (Cth),08_617.txt
 Federal Court,2008, Trade Practices Act 1974 (Cth),09_980.txt
NAN,2008,Trade Practices Act 1974 (Cth),09_87.txt
Federal Magistrates Court,2008,Ahern v Deputy Commissioner of Taxation (Qld) 1987 FCA 312 ; (1987) 76 ALR 137 at 148,08_1408.txt
 Federal Court of Australia,2008,section 45(2)(a)(ii) of the Code,09_1255.txt
Federal Court,2008," Order 4, r 14",08_63.txt
" Full Court, Federal Court",2008, Corporations Act 2001 (Cth),08_1860.txt
NAN,2008,s 74B Environmental Protection and Biodiversity Conservation Act 1999 (Cth),08_1870.txt
Davies Collison Cave,2008, ss 588FA and 588FC of the Corporations Act,08_1737.txt
 Federal Court of Australia,2008,Trade Practices Act 1974,08_1735.txt
Refugee Review Tribunal,2008,s 91R(3) of the Migration Act 1958,09_841.txt
 Federal Court,2008," Federal Court Rules , O 52 r 15",08_1897.txt
NAN,2008,Administrative Decisions (Judicial Review) Act 1977 (Cth),08_1879.txt
Federal Magistrates Court,2008,Migration Act 1958 (Cth),09_902.txt
 Federal Court,2008, Federal Court Act 1976 (Cth),08_907.txt
Federal Court of Australia,2008,"Trade Practices Act 1974 (Cth) ss 4, 51AF, 52, 75B, 82, 87; Corporations Act 2001 (Cth) ss 79, 208, 209, 764A, 766A, 766C, 1041E, 1041H, 1041I, 1324, 1325; Australian Securities and Investment Commission Act 2001 (Cth) ss 12BB, 12BAA, 12BAB, 12CA, 12DA, 12GB, 12GH, 12GM",08_1112.txt
Federal Court,2008,Spam Act 2003,08_130.txt
 Federal Court Rules,2008,Bankruptcy Act 1966 (Cth),08_1016.txt
Supreme Court of New South Wales,2008,NAN,09_632.txt
 Federal Court,2008, O 46 r 6,08_783.txt
