court_name,judge_name,judgment_year,file
Federal Court,NAN, 2006,06_900.txt
Federal Court,Honourable Justice Logan,2009,09_1154.txt
Federal Court, Heerey J, 2006,06_848.txt
Federal Court,Cowdroy J,2007,07_86.txt
Federal Court,Honourable Justice Moore, 2006,06_478.txt
Federal Court,Honourable Justice Wilcox,2006,06_487.txt
Federal Court, Stone J, 2024,09_372.txt
Federal Court, Justice Cooper,2009,09_789.txt
Federal Court, Mr C Golvan SC Middletons Mr D Catterns QC with Dr W Rothnie Blake Dawson Waldron,2024,07_1823.txt
Federal Court,Justice Madgwick, 2024,07_863.txt
Federal Court, Branson J, 2004,09_217.txt
Federal Court, Branson J, 2024,08_1542.txt
Federal Court,Honourable Justice Jagot,NAN,09_570.txt
Federal Court, Coles QC, 2007,08_617.txt
Federal Court, Foster, 2024,09_980.txt
Federal Court, Middleton J,2024,09_87.txt
Federal Court, Scarlett FM,2006,07_479.txt
Federal Court, Mr Simon Couper QC, 2007,07_54.txt
Federal Court, Justice Williams, 2008,08_1408.txt
Federal Court, Mr Burley SC and Ms Beaumont Clayton Utz Mr Bannon SC with Mr Hennessy Gilbert + Tobin, 2009,09_1391.txt
Federal Court,NAN, 2009,09_1255.txt
Federal Court,Gyles J,2006,06_157.txt
Federal Court,Honourable Justice Gordon,2009,09_1122.txt
Federal Court,Honourable Justice Moore,2006,06_786.txt
Federal Court, Ms Payne SM,2024,09_307.txt
Federal Court, Justice Flick, 2007,08_63.txt
Federal Court,Honourable Justice Tamberlin,2007,07_1288.txt
Federal Court,NAN, 2024,07_811.txt
Federal Court, Ms M Brennan, 2008,08_1530.txt
Federal Court, Mr Abadee, 2009,09_516.txt
Federal Court, Branson J,2009,09_660.txt
Federal Court, S M Littlemore QC, 2007,07_569.txt
Federal Court, Thomas J Shaw, 2024,07_545.txt
Federal Court,NAN, 2024,08_1870.txt
Federal Court, Turner FM, 2024,08_1284.txt
Federal Court, Gray J, 2005,06_435.txt
Federal Court, Bennett J,2024,07_2034.txt
Federal Court, Graeme Julian Samuel, 2008,08_1735.txt
Federal Court,NAN,2009,09_841.txt
Federal Court,Honourable Justice Marshall, 2006,06_740.txt
Federal Court, I C Robertson SC, 2024,09_1480.txt
Federal Court,NAN, 2006,06_758.txt
Federal Court, M Cashion SC, 2006,06_1054.txt
Federal Court,NAN,2008,08_1897.txt
Federal Court, R A Dick, 2007,07_1445.txt
Federal Court,NAN, 2007,08_55.txt
Federal Court,Honourable Justice Siopis,2009,09_484.txt
Federal Court,NAN, 2004,06_1290.txt
Federal Court,Mr P Ginnane, 2008,08_1879.txt
Federal Court,Jagot J, 2009,09_902.txt
Federal Court,Honourable Justice Collier,2006,06_1680.txt
Federal Court,Mansfield J,2005,08_907.txt
Federal Court,Heerey J,2007,07_411.txt
Federal Court, DH Solomon Solomon Brothers,2005,06_548.txt
Federal Court, Gyles J, 2009,09_1477.txt
Federal Court,Heerey J,2006,06_364.txt
Federal Court, His Honour, 2007,07_702.txt
Federal Court,NAN, 2024,06_18.txt
Federal Court, Mr Telfer, 2008,08_1016.txt
Federal Court,NAN, 2007,08_1765.txt
Federal Court,CONTI J,2006,06_1220.txt
Federal Court,NAN,NAN,07_881.txt
Federal Court, Hart, 2005,06_1620.txt
Federal Court, Mr SC Russell, 2009,09_1205.txt
Federal Court,NAN, 2024,06_1147.txt
Federal Court,NAN, 2024,09_753.txt
Federal Court,Honourable Justice Barker, 2009,09_394.txt
Federal Court,SACKVILLE J,2006,06_515.txt
Federal Court, Justice Besanko,2006,06_662.txt
Federal Court,FRENCH J,2006,06_1811.txt
Federal Court, GN Calder, 2009,09_618.txt
Federal Court, Holt, 2007,09_1398.txt
