court_name,hearing_year,legal_basis,file
Federal Court,2008,Australian Patent 774224 A barrier,09_57.txt
Federal Court,2007,"Federal Court of Australia Act 1976 (Cth), Federal Court Rules 1979 (Cth)",07_1288.txt
Federal Court,2006,Trade Practices Act 1974 (Cth),07_811.txt
Federal Court,2008,nan,08_1737.txt
Federal Court,2008,nan,08_1284.txt
Federal Court,2007,nan,08_63.txt
Federal Court,0,nan,09_902.txt
Federal Court,2009,Trade Practices Act 1974 (Cth),09_1480.txt
Federal Court,2007,"Trade Practices Act 1976 (Cth) (""the Act""), contract between Clough and ONGC",07_881.txt
Federal Court,2009,"Federal Court Rules, O 6 r 17(1)",09_1391.txt
Federal Court,2007,Order 15A rule 6 of the Federal Court Rules,07_1445.txt
Federal Court,2008,Federal Court Rules,08_783.txt
Federal Court,2009,"Federal Court Rules, Corporations Act 2001",09_1477.txt
Federal Court,2006,Corporations Act 2001 (Cth),06_135.txt
Federal Court,0,Order 62 rule 36A(1) of the Federal Court Rules,06_487.txt
Federal Court,2006,Trade Practices Act 1974 (Cth),06_192.txt
Federal Court,0,Trade Practices Act 1974 (Cth),09_87.txt
Federal Court,2009,Bankruptcy Act 1966 (Cth),09_570.txt
Federal Court,2007,"Trade Practices Act 1974 (Cth), Corporations Act 2001 (Cth)",07_1383.txt
Federal Court,2008,"Disability Discrimination Act 1992 (Cth), Racial Discrimination Act 1975 (Cth), Human Rights and Equal Opportunity Commission Act 1986 (Cth), tort of negligence",08_907.txt
Federal Court,2009,Disability Discrimination Act 1992 (Cth),09_1122.txt
Federal Court,2009,Cross-Border Insolvency Act 2008 (Cth),09_372.txt
Federal Court,0,Occupational Health and Safety Act 1991 (Cth),09_660.txt
Federal Court,2008,Corporations Act 2001 (Cth),08_1860.txt
Federal Court,0,Trade Practices Act 1974 (Cth),09_980.txt
Federal Court,0,"Spam Act 2003 (Cth), Corporations Act 2001 (Cth)",08_130.txt
