court_name,judge_name,hearing_year,judgment_year,file,plainjudge_name,plaintextjudge_name,judge_name2,judge_name3
 Honourable Justice Young,Heerey J,2006,2006,06_848.txt,,,,
 Federal Court,Mr C G Colvin SC,2006,2006,06_135.txt,,,,
Federal Court of Australia, Drummond J,2006,2006,08_995.txt,,,,
Federal Court of Australia,Cowdroy J,2006,2007,07_86.txt,,,,
 Federal Magistrates Court,Honourable Justice Moore,2006,2006,06_478.txt,,,,
 Federal Court of Australia,Honourable Justice Wilcox,2006,2006,06_487.txt,,,,
 Federal Court of Australia,NAN,2007,2007,07_1599.txt, NAN,,,
Federal Court, Kenny J, 2007,2007,07_1823.txt,,,,
Federal Magistrates Court,Driver FM,2007,2007,07_863.txt,,,,
 Federal Magistrates Court, Branson J,2006,2006,09_217.txt,,,,
 Federal Court of Australia, Justice Allsop,2006,2006,07_1615.txt,,,,
 Federal Court of Australia, Mr Justice Rares, 2007, 2007,08_617.txt,,,,
 Federal Magistrates Court,Scarlett FM,2006,2006,07_479.txt,,,,
NAN, Ms Kristy Dorney,2006,2006,07_54.txt,, Mr Simon Couper QC,,
NAN, Young J,2006,2007,07_2068.txt,,,,
Federal Magistrates Court, Justice Williams,2008,2008,08_1408.txt,,,,
Federal Court of Australia,Gyles J,2006,2006,06_157.txt,,,,
NAN,NAN,2006,2006,09_7.txt,,,,
 Federal Magistrates Court,Honourable Justice Moore,2006,2006,06_786.txt,,,,
Federal Court,Justice Flick,2007,2007,08_63.txt,,,,
Federal Court of Australia,Honourable Justice Tamberlin,2007,2007,07_1288.txt,,,,
 Federal Court, Allsop J,2006,2006,07_811.txt,,,,
NAN, Ms M Brennan,2006,2006,08_1530.txt,,,,
 Federal Court of Australia, S M Littlemore,2006,2006,07_569.txt,,,,
 Federal Magistrate Court,Turner FM,2006,2006,08_1284.txt,,,,
 Federal Court, Wilcox J,2006,2006,06_192.txt,,,,
Federal Magistrate's Court, Gray J,2003,2003,06_435.txt,,,,
NAN, French J,2007,2007,07_2034.txt,,,,
 High Court of Malaya,Honourable Justice Lindgren, 2007, 2007,07_961.txt,,,,
NAN,NAN,2007,2008,08_1735.txt,,,,
 Federal Court of Australia,Honourable Justice Marshall,2006,2006,06_740.txt,,,,
NAN,NAN,2007,2007,07_1692.txt,,,,
 Supreme Court of New South Wales, Mr J Thomson,2006,2006,06_758.txt,,,,
 Federal Court, Mr M Cashion SC,2006,2006,06_1054.txt,,,,
Federal Court,Lindgren J,2006,2006,07_1445.txt,,,,
 Federal Court of Australia,NAN,2007, 2008,08_55.txt,,,,
 Federal Court of Australia,Lindgren J,2007,2007,09_484.txt,,,,
NAN,NAN, 2023,2006,06_1290.txt,,,,
NAN, Mr P Ginnane, 2008, 2008,08_1879.txt,,,,
 Federal Court of Australia, Lindgren J,2009,2009,09_1058.txt,,,,
 Federal Court of Australia,Justice Collier,2006,2006,06_1680.txt,,,,
NAN,Mansfield J,2007,2005,08_907.txt,,,,
FEDERAL COURT OF AUSTRALIA,HEEREY J,2007,2007,07_411.txt,,,,
 Federal Magistrates Court,DH Solomon,2006,2006,06_548.txt,,,,
"FMC(VMC, Supreme Court of Victoria, Federal Court of Australia also mentioned)",McInnis FM,2007,2007,07_1520.txt,,,,
 Administrative Appeals Tribunal, Senior Member Bell, 2007,2007,07_7.txt,,,,
 Federal Court,Gyles J, 2009,2009,09_1477.txt,,,,
NAN,NAN,2006,2006,07_17.txt,,,,
Federal Court of Australia,Heerey J,2006,2006,06_364.txt,,,,
 Federal Court of Australia,Nicholson J,2006,2006,08_130.txt,,,,
NAN, His Honour,2006,2007,07_702.txt,,,,
NAN, Mr T M Thawley,2006,2006,06_18.txt,,,,
NAN,NAN,2007,2008,08_1016.txt,,,,
 New South Wales Court of Appeal," Spigelman CJ, Powell JA",2006,2006,06_1369.txt,,,,
NAN,NAN, 2024,2007,07_1383.txt,,,,
FEDERAL COURT OF AUSTRALIA,CONTI J,2006,2006,06_1220.txt,,,,
Supreme Court of New South Wales, White J,2006,2008,09_632.txt,,,,
NAN,NAN,2006,2006,07_881.txt,,,,
 Federal Court,NAN, 2002,2006,06_1620.txt,, von Doussa J, NAN, NAN
 Federal Court of Australia, Mr A Collett,2006,2006,06_1147.txt,,,,
NAN,NAN,2006,2006,09_1399.txt,,,,
FEDERAL COURT OF AUSTRALIA,SACKVILLE J,2006,2006,06_515.txt,,,,
 Federal Court of Australia,NAN, 2005,2006,08_783.txt,,,,
Federal Magistrates Court,Honourable Justice Besanko,2006,2006,06_662.txt,,,,
Federal Court of Australia,French J,2006,2006,06_1811.txt,,,,
Federal Magistrates Court,Holt,2006,2006,09_1398.txt,,,,
