court_name,hearing_year,judgment_year,file
Federal Court,2007,2007,07_1288.txt
Administrative Appeals Tribunal,2006,2006,06_1620.txt
Federal Court,2006,2007,07_811.txt
Federal Court of Australia,2007,2007,07_961.txt
Federal Court of Australia,2006,2006,06_1220.txt
nan,0,2007,07_569.txt
Federal Court of Australia,2006,0,06_157.txt
Federal Court,2007,2008,08_63.txt
Federal Magistrates Court of Australia,2006,2006,06_662.txt
Federal Court of Australia,2007,0,07_1692.txt
Federal Court of Australia,0,2007,07_2034.txt
Full Court,2006,2006,06_1369.txt
Federal Magistrates Court,2006,2006,06_478.txt
Federal Court of Australia,2007,2007,07_1615.txt
Federal Court of Australia,2006,2006,06_848.txt
Federal Magistrate's Court,0,2006,06_435.txt
Federal Court,2007,0,07_881.txt
Federal Court,2007,2007,07_1445.txt
Federal Court of Australia,0,2006,06_18.txt
Federal Court of Australia,2006,2006,06_1054.txt
Federal Court of Australia,0,2007,07_1823.txt
Federal Court of Australia,0,2006,06_1680.txt
Federal Court of Australia,2007,2007,07_1520.txt
Federal Magistrates Court,2007,2007,07_863.txt
Supreme Court of Western Australia,0,2006,06_1235.txt
Federal Magistrates Court,2006,2006,06_224.txt
Federal Court of Australia,2007,2007,07_86.txt
Federal Court,2006,2006,06_135.txt
Federal Magistrates Court,2005,2006,06_41.txt
Federal Magistrates Court,2007,2007,07_479.txt
Federal Court,0,2006,06_487.txt
Federal Court of Australia,2007,2007,07_1599.txt
Federal Court,2006,2006,06_192.txt
nan,0,2007,07_2068.txt
Federal Magistrates Court,2007,2007,07_702.txt
Federal Court of Australia,2006,2006,06_758.txt
Federal Court of Australia,0,2006,06_1147.txt
Federal Court,2007,2007,07_1383.txt
FCA (Federal Court of Australia),2006,2007,07_7.txt
Federal Court of Australia,2006,2007,07_54.txt
Federal Court of Australia,2007,2007,07_411.txt
Federal Court of Australia,2006,0,06_364.txt
Federal Court of Australia,2006,0,06_1811.txt
Federal Court of Australia,2006,0,06_515.txt
Federal Court of Australia,2006,2006,06_1290.txt
Federal Court of Australia,2005,2006,06_900.txt
Federal Court of Australia,2007,2007,07_17.txt
Federal Court of Australia,0,2007,07_545.txt
Federal Magistrate,2006,2006,06_786.txt
