university_name,setting,year_founded
University of Science and Arts of Oklahoma,rural,1908
College of the Atlantic,rural,1969
Davis and Elkins College,rural,1904
New College of Florida,suburban,2001
North Carolina Wesleyan College,suburban,1956
Southwest Minnesota State University,rural,1963
Crown College,rural,1916
California State University--Fullerton,urban,1957
Shepherd University,rural,1871
Touro College,urban,1971
Williams College,rural,1793
Tabor College,rural,1908
University of South Carolina--Upstate,urban,1967
Freed-Hardeman University,rural,1869
Harvey Mudd College,suburban,1955
St. Joseph's College,rural,1889
Mount Vernon Nazarene University,rural,1968
Cornell College,rural,1853
George Mason University,suburban,1972
Hampshire College,rural,1965
Auburn University--Montgomery,suburban,1967
Virginia Tech,rural,1872
Kennesaw State University,suburban,1963
Kutztown University of Pennsylvania,rural,1866
Northwestern State University of Louisiana,rural,1884
Georgia Southwestern State University,rural,1906
New England College,rural,1946
Piedmont College,rural,1897
University of California--Riverside,urban,1954
University of South Alabama,suburban,1963
