name,age,draft_pick,NBA_championships,file
Anthony Marshon Davis Jr.,30,1,1,Anthony_Davis.txt
Brandan Keith Wright  ,36,8,0,Brandan_Wright.txt
Philip Douglas Jackson  ,78,2,11,Phil_Jackson.txt
Magic Johnson  ,64,1,5,Magic_Johnson.txt
Jahlil Okafor,27,3,0,Jahlil_Okafor.txt
Tim Duncan,48,1,5,Tim_Duncan.txt
Anthony Edwards,22,1,0,Anthony_Edwards.txt
Larry Robinson,72,100000,10,Larry_Robinson.txt
Kevin Wayne Durant,35,2,2,Kevin_Durant.txt
Erazem Lorbek  ,39,2,0,Erazem_Lorbek.txt
Steve Kerr  ,58,50,9,Steve_Kerr.txt
Michael Carter-Williams  ,32,11,0,Michael_Carter-Williams.txt
