name,draft_pick,draft_year,NBA_championships,file
David Lattin  ,10,1967,1,Dave_Lattin.txt
Anthony Marshon Davis Jr.,1,2012,1,Anthony_Davis.txt
Philip Douglas Jackson  ,2,1967,11,Phil_Jackson.txt
Magic Johnson  ,1,1979,5,Magic_Johnson.txt
Isiah Thomas  ,2,1981,2,Isiah_Thomas.txt
Trent Tucker  ,6,1982,1,Trent_Tucker.txt
Vernon Maxwell,2,1988,2,Vernon_Maxwell.txt
Tim Duncan,1,1997,5,Tim_Duncan.txt
Calvin Ramsey  ,13,1959,1,Cal_Ramsey.txt
Kevin Wayne Durant,2,2007,2,Kevin_Durant.txt
William Bedford  ,6,1986,2,William_Bedford.txt
Steve Smith,5,1991,1,Steve_Smith.txt
