name,age,team,file
Lavoy Allen,35, Temple University,Lavoy_Allen.txt
Anthony Edwards,22,Minnesota Timberwolves,Anthony_Edwards.txt
Michael Carter-Williams,32,Capitanes de Ciudad de México,Michael_Carter-Williams.txt
Jabari Dominic Walker,21,Portland Trail Blazers,Jabari_Walker.txt
Antonius Cleveland,30,Lokomotiv Kuban,Antonius_Cleveland.txt
Devontae Cacok,27,Virtus Bologna,Devontae_Cacok.txt
Brandon Goodwin,28,Gigantes de Carolina,Brandon_Goodwin.txt
Anthony Marshon Davis Jr.,31,Los Angeles Lakers,Anthony_Davis.txt
Hamidou Diallo,25,Capital City Go-Go,Hamidou_Diallo.txt
Lamar Stevens,26,Memphis Grizzlies,Lamar_Stevens.txt
Jahlil Okafor,28,Capitanes de Arecibo,Jahlil_Okafor.txt
Donta Hall,26,Saski Baskonia,Donta_Hall.txt
Carrick Felix,33, Cleveland Cavaliers,Carrick_Felix.txt
