university_name,setting,year_founded
Kutztown University of Pennsylvania,rural,1866
Auburn University--Montgomery,suburban,1967
Luther College,rural,1861
University of Science and Arts of Oklahoma,rural,1908
Northwestern State University of Louisiana,rural,1884
Davis and Elkins College,rural,1904
University of California--Riverside,urban,1954
University of South Alabama,suburban,1963
Hampshire College,rural,1965
College of the Atlantic,rural,1969
Williams College,rural,1793
George Mason University,suburban,1972
Freed-Hardeman University,rural,1869
New England College,rural,1946
Harvey Mudd College,suburban,1955
Mount Vernon Nazarene University ,rural ,1968
Virginia Tech,rural,1872
Crown College,rural,1916
Tabor College,rural,1908
University of South Carolina--Upstate,urban,1967
North Carolina Wesleyan College,suburban,1956
Kennesaw State University,suburban,1963
New College of Florida,suburban,2001
Piedmont College,rural,1897
Touro College,urban,1971
St. Joseph's College,rural,1889
Shepherd University,rural,1871
California State University--Fullerton,urban,1957
