university_name,setting,total_undergraduate_enrollment
Elms College,suburban,0
St. Scholastica,suburban,10000
Morningside College,suburban,10000
Auburn University--Montgomery,suburban,10000
Monmouth University,suburban,10000
Rollins College,suburban,10000
Concordia University Chicago,suburban,10000
Southeastern University,suburban,10000
Wake Forest University,suburban,10000
University of South Alabama,suburban,10000
Catawba College,suburban,10000
University of Central Arkansas,suburban,10146
Lewis University ,suburban,10000
Towson University,suburban,10000
Denison University,suburban,10000
St. Norbert College ,suburban ,10000
George Mason University,suburban,10000
College of Idaho,suburban,1002
Fairleigh Dickinson University,suburban,10000
Rhode Island College,suburban,10000
Harvey Mudd College,suburban,757
Coast Guard Academy ,suburban ,973
Westmont College ,suburban ,10000
Woodbury University,suburban,10000
North Carolina Wesleyan College,suburban,10000
Kennesaw State University,suburban,10000
New College of Florida,suburban,825
Missouri Southern State University,suburban,10000
William Paterson University of New Jersey,suburban,10000
University of La Verne,suburban,10000
Marist College,suburban,10000
Curry College ,suburban,10000
St. Thomas Aquinas College ,suburban,10000
California Polytechnic State University--San Luis Obispo,suburban,10000
Gwynedd-Mercy College ,suburban ,10000
Pacific Lutheran University ,suburban ,10000
University at Buffalo--SUNY,suburban,10000
Chapman University,suburban,10000
Florida Gulf Coast University,suburban,10000
Framingham State College,suburban,3847
University of California--Irvine,suburban,10000
Boston College,suburban,10000
Belmont Abbey College,suburban,10000
Webster University ,suburban ,10000
Duke University,suburban,10000
Pomona College,suburban,10000
Mount St. Mary College,suburban,10000
Oregon State University,suburban,10000
Our Lady of Holy Cross College,suburban,10000
University of California--Santa Cruz,suburban,10000
Texas State University--San Marcos,suburban,10000
University of South Carolina--Aiken,suburban,10000
Bentley University,suburban,10000
Kean University,suburban,10000
Calvin College,suburban ,10000
Westfield State College,suburban,10000
St. Anselm College,suburban,10000
University of Mary Washington,suburban,10000
Baptist Bible College and Seminary ,suburban ,10000
St. Martin's University,suburban,10000
University of Richmond ,suburban ,10000
Tougaloo College,suburban,939
Western New England College,suburban,10000
University of Pittsburgh Johnstown,suburban,10000
SUNY Purchase,suburban,10000
Whitworth University,suburban,10000
University of Massachusetts--Dartmouth,suburban,10000
Swarthmore College,suburban,10000
Northwestern College,suburban,10000
Wheaton College,suburban,10000
McDaniel College,suburban,10000
Dominican University,suburban,1904
California Lutheran University,suburban,10000
Brandeis University,suburban ,10000
University of Massachusetts--Amherst,suburban,10000
Trinity Christian College,suburban,10000
Benedictine University ,suburban ,10000
Pitzer College,suburban,10000
Air Force Academy,suburban,10000
Villanova University,suburban,10000
Haverford College ,suburban ,10000
Quinnipiac University,suburban,10000
California Maritime Academy,suburban,823
Philadelphia Biblical University,suburban,10000
Berry College,suburban,10000
Bethany University,suburban,0
Philadelphia University,suburban ,10000
Vanguard University of Southern California,suburban,10000
Concordia University Texas,suburban,10000
Allegheny College,suburban,10000
George Fox University,suburban,10000
Endicott College ,suburban ,10000
Pepperdine University,suburban,10000
DeSales University,suburban,10000
Notre Dame de Namur University,suburban,875
University of Texas Dallas,suburban,10000
Fontbonne University,suburban,10000
Oberlin College ,suburban,10000
Cabrini College,suburban,10000
Florida Southern College,suburban,10000
Bryant University,suburban,10000
Azusa Pacific University,suburban,10000
California State Polytechnic University--Pomona,suburban,10000
College of Wooster ,suburban ,10000
Mercyhurst College,suburban,10000
Farmingdale State College--SUNY,suburban,10000
Northwestern University,suburban,10000
College of the Holy Cross,suburban,10000
University of Dayton,suburban,10000
Messiah College,suburban,10000
University of St. Francis,suburban,10000
California Baptist University,suburban,10000
SUNY College--Cortland,suburban,10000
University of North Carolina--Charlotte,suburban,10000
Southern Illinois University--Edwardsville ,suburban ,10000
Ramapo College of New Jersey,suburban,10000
Rockford College ,suburban,869
Siena College,suburban,10000
St. John Fisher College,suburban,10000
Marywood University,suburban,10000
Davidson College,suburban,10000
Southern Polytechnic State University,suburban,10000
Mount Ida College,suburban,10000
University of Rochester,suburban,10000
Stanford University,suburban,10000
Fairfield University,suburban,10000
University of Redlands ,suburban,10000
College of New Jersey ,suburban ,10000
Carthage College,suburban,10000
Roanoke College,suburban,10000
Notre Dame College of Ohio,suburban,10000
Dominican University of California,suburban,10000
Randolph-Macon College,suburban,10000
Elmhurst College ,suburban ,10000
Malone University,suburban,10000
College of St. Elizabeth ,suburban ,10000
Maryville University of St. Louis,suburban,10000
College of St. Benedict,suburban,10000
Whittier College,suburban,10000
North Central College,suburban,10000
Weber State University ,suburban ,10000
Olivet Nazarene University,suburban,10000
Walsh University ,suburban ,10000
Northwest University,suburban,10000
Gettysburg College ,suburban,10000
West Texas A&M University,suburban,10000
Tufts University,suburban,10000
University of Hartford,suburban,10000
Clayton State University,suburban,10000
Goucher College,suburban,10000
