university_name,total_undergraduate_enrollment,rank,file
Knox College,1470,75,0193.txt
Montana Tech of the University of Montana,1560,10,0295.txt
Barton College,1150,42,0047.txt
Cornell College ,1133,81,0978.txt
Morningside College,1239,27,0326.txt
Columbia College SC,1189,56,0962.txt
Massachusetts Maritime Academy,1185,13,0255.txt
Rollins College,1773,1,0450.txt
University of Science and Arts of Oklahoma,1087,14,0742.txt
Concordia University Chicago,1270,92,0969.txt
Southeastern University,1665,53,0489.txt
Davis and Elkins College,710,27,0997.txt
Hampshire College,1463,119,0128.txt
College of the Atlantic,336,131,0952.txt
Catawba College,1324,15,0907.txt
Oklahoma Baptist University,1714,2,0384.txt
Hollins University ,796,105,0149.txt
Hastings College,1104,174,0137.txt
Santa Fe University of Art and Design,195,80,0467.txt
Briar Cliff University,1079,29,0588.txt
College of Idaho,1002,174,0941.txt
Jamestown College,1010,41,0173.txt
Freed-Hardeman University,1496,39,0092.txt
New England College,1014,31,0342.txt
Harvey Mudd College,757,18,0136.txt
Coast Guard Academy ,973,1,0632.txt
Converse College,729,15,0975.txt
Lawrence University,1495,67,0204.txt
Westmont College ,1304,99,0842.txt
Woodbury University,1301,68,0894.txt
United States Merchant Marine Academy ,964,3,0633.txt
Crown College,1061,46,0982.txt
Tabor College,618,40,0574.txt
North Carolina Wesleyan College,1449,49,0351.txt
College of Mount St. Vincent,1555,117,0943.txt
New College of Florida,825,99,0341.txt
Piedmont College,1268,69,0409.txt
Virginia Union University,1307,64,0803.txt
Chestnut Hill College,1480,110,0922.txt
Wesleyan College,624,158,0826.txt
St. Joseph's College,1010,25,0532.txt
