university_name,academic_calendar,campus_size,file
Tabor College,4-1-4-based,70 acres,0574.txt
Hollins University,4-1-4-based,475 acres,0149.txt
Davis and Elkins College,4-1-4-based,170 acres,0997.txt
Williams College,4-1-4-based,450 acres,0884.txt
Hampshire College,4-1-4-based,NAN,0128.txt
Hamline University,4-1-4-based,60 acres,0126.txt
Barton College,4-1-4-based,76 acres,0047.txt
Bethel University,4-1-4-based,247 acres,0319.txt
Hastings College,4-1-4-based,109 acres,0137.txt
Massachusetts Maritime Academy,4-1-4-based,NAN,0255.txt
Oklahoma Baptist University,4-1-4-based,200 acres,0384.txt
Luther College,4-1-4-based,200 acres,0227.txt
Converse College,4-1-4-based, 70 acres,0975.txt
New College of Florida,4-1-4-based,114 acres,0341.txt
Union University,4-1-4-based,360 acres,0630.txt
