university_name,academic_calendar,year_founded,file
College of William and Mary,semester,1693,0955.txt
Macalester College,semester,1874,0232.txt
Morningside College,semester,1894,0326.txt
Columbia College SC,semester,1854,0962.txt
Concordia University Chicago,semester,1864,0969.txt
Southeastern University,semester,1935,0489.txt
Tulane University,semester,1834,0626.txt
Syracuse University,semester,1870,0573.txt
Santa Fe University of Art and Design,semester,1874,0467.txt
Georgia Institute of Technology,semester,1885,0106.txt
Denison University,semester,1831,1001.txt
Jamestown College,semester,1884,0173.txt
Freed-Hardeman University,semester,1869,0092.txt
New England College,semester,1946,0342.txt
Drake University,semester,1881,1011.txt
Harvey Mudd College,semester,1955,0136.txt
Rensselaer Polytechnic Institute,semester,1824,0434.txt
Georgetown University,semester,1789,0103.txt
Woodbury University,semester,1884,0894.txt
Virginia Tech,semester,1872,0802.txt
North Carolina Wesleyan College,semester,1956,0351.txt
Barnard College,semester,1889,0046.txt
St. Joseph's College,semester,1889,0532.txt
Shepherd University,semester,1871,0477.txt
