university_name,rank,file
Jamestown College,41,0173.txt
Wesleyan College,158,0826.txt
College of the Atlantic,131,0952.txt
Briar Cliff University,29,0588.txt
Lawrence University,67,0204.txt
Tabor College,"Regional Colleges (Midwest), 40",0574.txt
Cornell College,81,0978.txt
Hollins University,105,0149.txt
Davis and Elkins College,27,0997.txt
College of Idaho,174,0941.txt
Concordia River Forest,92,0969.txt
Crown College,46,0982.txt
Mount St. Vincent College,117,0943.txt
Woodbury University,68,0894.txt
Chestnut Hill College,110,0922.txt
Westmont College,99,0842.txt
Santa Fe University of Art and Design,80,0467.txt
Hampshire College,119,0128.txt
Freed Hardeman University,39,0092.txt
Morningside,27,0326.txt
Catawba College,15,0907.txt
Barton College,42,0047.txt
Mass Maritime,13,0255.txt
St. Joseph's College,25,0532.txt
Harvey Mudd College,18,0136.txt
Rollins College,1,0450.txt
North Carolina Wesleyan,49,0351.txt
Piedmont College,69,0409.txt
Oklahoma Baptist,2,0384.txt
University of Science and Arts,"Regional Colleges (West), 14",0742.txt
New England College,31,0342.txt
Coast Guard Academy,1,0632.txt
Converse College,15,0975.txt
US Merchant Marine,3,0633.txt
New College of Florida,99,0341.txt
Columbia College SC,56,0962.txt
Virginia Union University,64,0803.txt
