position,nationality,age,name
,American,31,Antonius Cleveland
Frontcourt,American,66,Jay Vincent Jay Fletcher Vincent
Backcourt,Serbian,31,Nikola Radi?evi?
Backcourt,American,61,Mark Price
Backcourt,French,31,David Michineau
,American-born naturalized Azerbaijani,28,Donta Hall
,American,51,Erick Strickland
Frontcourt,American,81,David Lattin
Frontcourt,American,83,Toby Kimball
Frontcourt,American,51,Derek Grimm
Frontcourt,American,32,Anthony Marshon Davis Jr.
,American,37,Brandan Keith Wright
Backcourt,American-Venezuelan,53,Askia Rahman Jones
Backcourt,American,35,Carrick Felix
Backcourt,American,37,Mychel Thompson
,American,75,Marvin Roberts
,American,66,"Kenneth ""Apple"" Green"
,American,56,Gerald Madkins Jr.
Frontcourt,American,80,Philip Douglas Jackson
Frontcourt,American,56,Anthony Avent
Frontcourt,American,33,Drew Edward Gordon
,American,41,Jarrett Jack
,American,52,Rick Hughes
,American,36,Lavoy Allen
Backcourt,American,66,Magic Johnson
Backcourt,American,64,Isiah Thomas
,American,74,Dan Anderson
,Nigerian-American,30,Jahlil Okafor
Backcourt,American,65,Trent Tucker
Frontcourt,American,57,Dwayne Kenneth Schintzius
Backcourt,American,49,Miles Julian Simon
,American,90,Guy William Rodgers
Backcourt,American,60,Vernon Maxwell
Frontcourt,American,50,Tim Duncan
Frontcourt,American,61,Walter Berry
,American,51,Tony Lorenzo Delk
Frontcourt,American,88,Calvin Ramsey
Frontcourt,American,58,Derrick Chievous
Frontcourt,Dutch,59,Rik Smits
Backcourt,American,24,Anthony Edwards
Frontcourt,American,76,Darnell Hillman
Frontcourt,Canadian,74,Larry Robinson
Backcourt,Greek-American,36,Nicholas William Calathes
Backcourt,,73,Rod Derline
Frontcourt,American,53,Kurt Thomas
Frontcourt,American,37,Kevin Wayne Durant
Frontcourt,American,54,Aaron Williams
,American,50,Nathaniel Thomas Huffman
,American,75,Fred Boyd
Frontcourt,American,61,William Bedford
Backcourt,American,56,Steve Smith
,American,53,Shawn Christopher Respert
,American,59,Rodney Strickland
,American,28,Lamar Brandon Stevens
Backcourt,American,37,Ronald Moore
Frontcourt,Slovenian,41,Erazem Lorbek
,American,27,Hamidou Diallo
Frontcourt,American,39,"Dewayne ""D. J."" White, Jr."
Frontcourt,American,60,Steve Kerr
Frontcourt,American,57,Gregory Clinton Foster
Frontcourt,American,81,Bill Hewitt
Backcourt,American,44,Joseph Xavier Forte
Frontcourt,Croatian,58,Dino_Ra?a
,American,66,Mark Jeffrey Radford
Frontcourt,Greek,35,Kostas Papanikolaou
,American,66,Garry Witts Garrett David Witts
,American,23,Jabari Dominic Walker
,American,29,Devontae Cacok
Backcourt,American,30,Brandon Goodwin
,American,45,Jamal Crawford
,American,37,Jordan Lee Crawford
,American,61,Tom Copa
Frontcourt,American,74,Kermit Washington
,American,52,Donyell Marshall
Frontcourt,American,78,Greg Fillmore Gregory Paul Fillmore
Frontcourt,American,72,John Harding Lucas II
,American,80,Garfield Smith
,American,34,Michael Carter-Williams
,German,32,Dennis Schr?der
,American,89,Jack Parr
Frontcourt,American,67,"Monti Davis DaMon William ""Monti"" Davis"
,American-Spanish,59,Eric Johnson Jones
,American,25,Trayce Jackson-Davis
Frontcourt,American,32,Andre Jamal Drummond
,Bahamian,33,"Chavano Rainer ""Buddy"" Hield"
Backcourt,American,29,D'Angelo Russell
,Cameroonian-American,31,Joel Hans Embiid
,American,35,Paul Clifton Anthony George
,American,33,Kyrie Andrew Irving
,American,27,Jayson Christopher Tatum
Frontcourt,American,30,Caleb Martin
,Canadian,30,Andrew Christian Wiggins
,American,24,Max Berning Fiedler
,British,28,"Ogugua ""OG"" Anunoby Jr."
Backcourt,American,29,Jaylen Marselles Brown
Frontcourt,French,21,Victor Wembanyama
,American,35,Jrue Randall Holiday
,American,27,Austin Tyler Reaves
,American,37,Kevin Wesley Love
Frontcourt,Greek and Nigerian,31,Giannis Sina Ugo Antetokounmpo
Backcourt,American,37,Wardell Stephen Curry II
Frontcourt,Dominican,39,Alfred Joel Horford Reynoso
Backcourt,American,25,Tyler Christopher Herro
,American,31,Duncan McBryde Robinson
,American-Chinese,33,Kyle Forman Anderson
,American,24,Cade Parker Cunningham
,American,40,LeBron Raymone James Sr.
,American,36,Jimmy Butler III
Frontcourt,American,29,Kevon Grant Looney
,American,30,Zachary Thomas LaVine
,American,23,Jaden Edward Dhananjay Ivey
Backcourt,American,39,Kyle Terrell Lowry
Backcourt,American,62,Michael Jeffrey Jordan
Backcourt,American,28,Devin Armani Booker
Frontcourt,American,35,Draymond Jamal Green
,American,28,Zach Collins
Frontcourt,Congolese,23,Jonathan Malangu Kuminga
Backcourt,American,28,Lonzo Anderson Ball
,Mexican-American,24,Jaime Jaquez Jr.
,American,22,Ausar XLNC Thompson
,American,29,Jalen Marquis Brunson
Frontcourt,American,53,Shaquille Rashaun O'Neal
Backcourt,American,47,Kobe Bean Bryant
Backcourt,American,40,Christopher Emmanuel Paul
,American,33,Harrison Bryce Jordan Barnes
,American,28,"Edrice Femi ""Bam"" Adebayo"
