draft_pick,team_name,fiba_world_cup,location,name
25.0,Orlando Magic,1.0,Orlando,Mark Price
1.0,Los Angeles Lakers,1.0,Los Angeles,Anthony Marshon Davis Jr.
2.0,Indiana Pacers,1.0,Indianapolis,Rik Smits
8.0,Golden State Warriors,1.0,San Francisco,Darnell Hillman
2.0,Phoenix Suns,1.0,Phoenix,Kevin Wayne Durant
0.0,Toronto Raptors,1.0,Toronto,Nathaniel Thomas Huffman
50.0,Golden State Warriors,1.0,San Francisco,Steve Kerr
17.0,Brooklyn Nets,1.0,Brooklyn,Dennis Schr?der
9.0,Philadelphia 76ers,1.0,Philadelphia,Andre Jamal Drummond
1.0,Dallas Mavericks,1.0,Dallas,Kyrie Andrew Irving
0.0,Los Angeles Lakers,1.0,Los Angeles,Austin Tyler Reaves
5.0,Miami Heat,1.0,Miami,Kevin Wesley Love
7.0,Golden State Warriors,2.0,San Francisco,Wardell Stephen Curry II
1.0,Detroit Pistons,1.0,Detroit,Cade Parker Cunningham
5.0,Detroit Pistons,1.0,Detroit,Jaden Edward Dhananjay Ivey
1.0,Boston Celtics,1.0,Boston,Shaquille Rashaun O'Neal
