ownership,championships,founded_year
,6,1966
,17,1946
,18,1946
,0,1967
,0,1988
,1,1970
,1,1980
,1,1967
,3,1937
,7,1946
,2,1967
,3,1967
,0,1970
,2,1968
,3,1946
,0,1968
,1,1970
,1,1967
,5,1967
,0,1974
,1,1961
Atlanta Spirit LLC,1,1946
null,18,1946
Joseph Tsai,0,1967
Gabe Plotkin and Rick Schnall,0,1988
null,6,1966
Dan Gilbert,1,1970
Miriam Adelson and Patrick Dumont,1,1980
null,1,1967
null,3,1937
null,7,1946
null,2,1967
null,3,1967
Steve Ballmer,0,1970
Jerry Buss,17,1946
Micky Arison,3,1988
Wes Edens and Marc Lasry,2,1968
James L. Dolan,2,1946
"Professional Basketball Club LLC, a group of Oklahoma City investors led by Clay Bennett",0,1967
Harris Blitzer Sports & Entertainment (HBSE),3,1946
null,0,1968
Paul Allen,1,1970
null,1,1923
null,5,1967
null,0,1974
Ted Leonsis,1,1961
