championship,location,age,olympic_gold_medals,name,id,player.id,team.id
0,Los Angeles,54,,aaron williams,,,
18,Boston,39,0.0,alfred joel horford reynoso,,,
3,Philadelphia,32,0.0,andre jamal drummond,,,
7,San Francisco,30,0.0,andrew christian wiggins,,,
0,Minneapolis,24,1.0,anthony edwards,,,
17,Los Angeles,32,2.0,anthony marshon davis,,,
17,Los Angeles,27,1.0,austin tyler reaves,,,
17,Los Angeles,81,0.0,bill hewitt,,,
2,Houston,37,0.0,brandan keith wright,,,
3,Philadelphia,30,0.0,caleb martin,,,
2,New York City,88,0.0,calvin ramsey,,,
7,San Francisco,33,0.0,"chavano rainer ""buddy"" hield",,,
17,Los Angeles,29,0.0,d'angelo russell,,,
1,Portland,74,0.0,dan anderson,,,
7,San Francisco,76,0.0,darnell hillman,,,
1,Sacramento,51,0.0,derek grimm,,,
1,Cleveland,58,0.0,derrick chievous,,,
2,New York City,95,0.0,don anielak,,,
3,Philadelphia,33,0.0,drew edward gordon,,,
0,Salt Lake City,59,0.0,eric johnson jones,,,
2,Milwaukee,51,0.0,erick strickland,,,
18,Boston,80,0.0,garfield smith,,,
2,Milwaukee,31,0.0,giannis sina ugo antetokounmpo,,,
2,New York City,78,0.0,greg fillmore gregory paul fillmore,,,
3,Indianapolis,57,0.0,gregory clinton foster,,,
2,Milwaukee,90,0.0,guy william rodgers,,,
3,Detroit,98,0.0,"harry junior ""the horse"" gallatin",,,
3,Detroit,64,0.0,isiah thomas,,,
1,Portland,23,0.0,jabari dominic walker,,,
0,Brooklyn,45,0.0,jamal crawford,,,
3,Detroit,41,0.0,jarrett jack,,,
17,Los Angeles,66,0.0,jay vincent jay fletcher vincent,,,
18,Boston,29,0.0,jaylen marselles brown,,,
18,Boston,27,2.0,jayson christopher tatum,,,
3,Philadelphia,31,1.0,joel hans embiid,,,
2,Houston,72,0.0,john harding lucas,,,
18,Boston,35,2.0,jrue randall holiday,,,
2,New York City,66,0.0,"kenneth ""apple"" green",,,
7,San Francisco,74,0.0,kermit washington,,,
0,Phoenix,37,4.0,kevin wayne durant,,,
3,Miami,37,1.0,kevin wesley love,,,
2,New York City,53,0.0,kurt thomas,,,
7,San Francisco,33,0.0,kyle forman anderson,,,
1,Dallas,33,1.0,kyrie andrew irving,,,
0,Memphis,28,0.0,lamar brandon stevens,,,
3,Philadelphia,36,0.0,lavoy allen,,,
17,Los Angeles,66,1.0,magic johnson,,,
0,Orlando,61,0.0,mark price,,,
3,Philadelphia,24,0.0,max berning fiedler,,,
0,Phoenix,49,0.0,miles julian simon,,,
1,Dallas,67,0.0,"monti davis damon william ""monti"" davis",,,
1,Toronto,50,0.0,nathaniel thomas huffman,,,
2,New York City,28,0.0,"ogugua ""og"" anunoby",,,
3,Philadelphia,35,1.0,paul clifton anthony george,,,
17,Los Angeles,80,0.0,philip douglas jackson,,,
3,Indianapolis,59,0.0,rik smits,,,
2,Houston,59,0.0,rodney strickland,,,
18,Boston,105,0.0,stanley m noszka,,,
7,San Francisco,60,1.0,steve kerr,,,
5,San Antonio,50,0.0,tim duncan,,,
7,San Francisco,25,0.0,trayce jackson-davis,,,
6,Chicago,65,0.0,trent tucker,,,
1,Dallas,60,0.0,vernon maxwell,,,
5,San Antonio,21,0.0,victor wembanyama,,,
7,San Francisco,37,1.0,wardell stephen curry,,,
