championships,location,age,olympic_gold_medals
17,Los Angeles,66,0.0
0,Orlando,61,0.0
2,Milwaukee,51,0.0
1,Sacramento,51,0.0
17,Los Angeles,32,2.0
2,Houston,37,0.0
2,New York City,66,0.0
2,New York City,95,0.0
17,Los Angeles,80,0.0
3,Philadelphia,33,0.0
3,Detroit,41,0.0
3,Philadelphia,36,0.0
17,Los Angeles,66,1.0
18,Boston,105,0.0
3,Detroit,64,0.0
1,Portland,74,0.0
6,Chicago,65,0.0
0,Phoenix,49,0.0
2,Milwaukee,90,0.0
1,Dallas,60,0.0
5,San Antonio,50,0.0
2,New York City,88,0.0
1,Cleveland,58,0.0
3,Indianapolis,59,0.0
0,Minneapolis,24,1.0
3,Detroit,98,0.0
7,San Francisco,76,0.0
2,New York City,53,0.0
0,Phoenix,37,4.0
0,Los Angeles,54,
1,Toronto,50,0.0
2,Houston,59,0.0
0,Memphis,28,0.0
7,San Francisco,60,1.0
3,Indianapolis,57,0.0
17,Los Angeles,81,0.0
1,Portland,23,0.0
0,Brooklyn,45,0.0
7,San Francisco,74,0.0
2,New York City,78,0.0
2,Houston,72,0.0
18,Boston,80,0.0
0,Brooklyn,32,0.0
1,Dallas,67,0.0
0,Salt Lake City,59,0.0
7,San Francisco,25,0.0
3,Philadelphia,32,0.0
7,San Francisco,33,0.0
17,Los Angeles,29,0.0
3,Philadelphia,31,1.0
3,Philadelphia,35,1.0
1,Dallas,33,1.0
18,Boston,27,2.0
3,Philadelphia,30,0.0
7,San Francisco,30,0.0
3,Philadelphia,24,0.0
2,New York City,28,0.0
18,Boston,29,0.0
5,San Antonio,21,0.0
18,Boston,35,2.0
17,Los Angeles,27,1.0
3,Miami,37,1.0
2,Milwaukee,31,0.0
7,San Francisco,37,1.0
18,Boston,39,0.0
7,San Francisco,33,0.0
2,Houston,37,0.0
2,New York City,66,0.0
2,New York City,95,0.0
17,Los Angeles,80,0.0
3,Philadelphia,33,0.0
3,Detroit,41,0.0
3,Philadelphia,36,0.0
17,Los Angeles,66,1.0
18,Boston,105,0.0
3,Detroit,64,0.0
1,Portland,74,0.0
6,Chicago,65,0.0
0,Phoenix,49,0.0
2,Milwaukee,90,0.0
1,Dallas,60,0.0
5,San Antonio,50,0.0
2,New York City,88,0.0
1,Cleveland,58,0.0
3,Indianapolis,59,0.0
0,Minneapolis,24,1.0
3,Detroit,98,0.0
7,San Francisco,76,0.0
2,New York City,53,0.0
0,Phoenix,37,4.0
0,Los Angeles,54,
1,Toronto,50,0.0
2,Houston,59,0.0
0,Memphis,28,0.0
7,San Francisco,60,1.0
3,Indianapolis,57,0.0
17,Los Angeles,81,0.0
1,Portland,23,0.0
0,Brooklyn,45,0.0
7,San Francisco,74,0.0
2,New York City,78,0.0
2,Houston,72,0.0
18,Boston,80,0.0
0,Brooklyn,32,0.0
1,Dallas,67,0.0
0,Salt Lake City,59,0.0
7,San Francisco,25,0.0
3,Philadelphia,32,0.0
7,San Francisco,33,0.0
17,Los Angeles,29,0.0
3,Philadelphia,31,1.0
3,Philadelphia,35,1.0
1,Dallas,33,1.0
18,Boston,27,2.0
3,Philadelphia,30,0.0
7,San Francisco,30,0.0
3,Philadelphia,24,0.0
2,New York City,28,0.0
18,Boston,29,0.0
5,San Antonio,21,0.0
18,Boston,35,2.0
17,Los Angeles,27,1.0
3,Miami,37,1.0
2,Milwaukee,31,0.0
7,San Francisco,37,1.0
18,Boston,39,0.0
7,San Francisco,33,0.0
2,Houston,37,0.0
2,New York City,66,0.0
2,New York City,95,0.0
17,Los Angeles,80,0.0
3,Philadelphia,33,0.0
3,Detroit,41,0.0
3,Philadelphia,36,0.0
17,Los Angeles,66,1.0
18,Boston,105,0.0
3,Detroit,64,0.0
1,Portland,74,0.0
6,Chicago,65,0.0
0,Phoenix,49,0.0
2,Milwaukee,90,0.0
1,Dallas,60,0.0
5,San Antonio,50,0.0
2,New York City,88,0.0
1,Cleveland,58,0.0
3,Indianapolis,59,0.0
0,Minneapolis,24,1.0
3,Detroit,98,0.0
7,San Francisco,76,0.0
2,New York City,53,0.0
0,Phoenix,37,4.0
0,Los Angeles,54,
1,Toronto,50,0.0
2,Houston,59,0.0
0,Memphis,28,0.0
7,San Francisco,60,1.0
3,Indianapolis,57,0.0
17,Los Angeles,81,0.0
1,Portland,23,1.0
0,Brooklyn,45,0.0
7,San Francisco,74,0.0
2,New York City,78,0.0
2,Houston,72,0.0
18,Boston,80,0.0
0,Brooklyn,32,0.0
1,Dallas,67,0.0
0,Salt Lake City,59,0.0
7,San Francisco,25,0.0
3,Philadelphia,32,1.0
7,San Francisco,33,0.0
17,Los Angeles,29,0.0
3,Philadelphia,31,1.0
3,Philadelphia,35,1.0
1,Dallas,33,1.0
18,Boston,27,2.0
3,Philadelphia,30,0.0
7,San Francisco,30,0.0
3,Philadelphia,24,0.0
2,New York City,28,0.0
18,Boston,29,0.0
5,San Antonio,21,0.0
18,Boston,35,2.0
17,Los Angeles,27,1.0
3,Miami,37,1.0
2,Milwaukee,31,0.0
7,San Francisco,37,1.0
18,Boston,39,0.0
7,San Francisco,33,0.0
2,Houston,37,0.0
2,New York City,66,0.0
2,New York City,95,0.0
17,Los Angeles,80,0.0
3,Philadelphia,33,0.0
3,Detroit,41,0.0
3,Philadelphia,36,0.0
17,Los Angeles,66,1.0
18,Boston,105,0.0
3,Detroit,64,0.0
1,Portland,74,0.0
6,Chicago,65,0.0
0,Phoenix,49,0.0
2,Milwaukee,90,0.0
1,Dallas,60,0.0
5,San Antonio,50,0.0
2,New York City,88,0.0
1,Cleveland,58,0.0
3,Indianapolis,59,0.0
0,Minneapolis,24,1.0
3,Detroit,98,0.0
7,San Francisco,76,0.0
2,New York City,53,0.0
0,Phoenix,37,4.0
0,Los Angeles,54,
1,Toronto,50,0.0
2,Houston,59,0.0
