position,nationality,age,name,id,player.id
Frontcourt,American,54,aaron williams,,
Frontcourt,Dominican,39,alfred joel horford reynoso,,
Frontcourt,American,32,andre jamal drummond,,
,Canadian,30,andrew christian wiggins,,
Frontcourt,American,56,anthony avent,,
Backcourt,American,24,anthony edwards,,
Frontcourt,American,32,anthony marshon davis,,
,American,31,antonius cleveland,,
Backcourt,American-Venezuelan,53,askia rahman jones,,
,American,27,austin tyler reaves,,
Frontcourt,American,81,bill hewitt,,
,American,37,brandan keith wright,,
Backcourt,American,30,brandon goodwin,,
Frontcourt,American,30,caleb martin,,
Frontcourt,American,88,calvin ramsey,,
Backcourt,American,35,carrick felix,,
,Bahamian,33,"chavano rainer ""buddy"" hield",,
Backcourt,American,29,d'angelo russell,,
,American,74,dan anderson,,
Frontcourt,American,76,darnell hillman,,
Frontcourt,American,81,david lattin,,
Backcourt,French,31,david michineau,,
Frontcourt,American,51,derek grimm,,
Frontcourt,American,58,derrick chievous,,
,American,29,devontae cacok,,
Frontcourt,American,39,"dewayne ""d j"" white",,
,American-born naturalized Azerbaijani,28,donta hall,,
,American,52,donyell marshall,,
Frontcourt,American,33,drew edward gordon,,
Frontcourt,American,57,dwayne kenneth schintzius,,
Frontcourt,Slovenian,41,erazem lorbek,,
,American-Spanish,59,eric johnson jones,,
,American,51,erick strickland,,
,American,75,fred boyd,,
,American,80,garfield smith,,
,American,66,garry witts garrett david witts,,
,American,56,gerald madkins,,
Frontcourt,Greek and Nigerian,31,giannis sina ugo antetokounmpo,,
Frontcourt,American,78,greg fillmore gregory paul fillmore,,
Frontcourt,American,57,gregory clinton foster,,
,American,90,guy william rodgers,,
,American,27,hamidou diallo,,
Backcourt,American,64,isiah thomas,,
,American,23,jabari dominic walker,,
,American,89,jack parr,,
,Nigerian-American,30,jahlil okafor,,
,American,45,jamal crawford,,
,American,41,jarrett jack,,
Frontcourt,American,66,jay vincent jay fletcher vincent,,
Backcourt,American,29,jaylen marselles brown,,
,American,27,jayson christopher tatum,,
,Cameroonian-American,31,joel hans embiid,,
Frontcourt,American,72,john harding lucas,,
,American,37,jordan lee crawford,,
Backcourt,American,44,joseph xavier forte,,
,American,35,jrue randall holiday,,
,American,66,"kenneth ""apple"" green",,
Frontcourt,American,74,kermit washington,,
Frontcourt,American,37,kevin wayne durant,,
,American,37,kevin wesley love,,
Frontcourt,Greek,35,kostas papanikolaou,,
Frontcourt,American,53,kurt thomas,,
,American-Chinese,33,kyle forman anderson,,
,American,33,kyrie andrew irving,,
,American,28,lamar brandon stevens,,
Frontcourt,Canadian,74,larry robinson,,
,American,36,lavoy allen,,
Backcourt,American,66,magic johnson,,
,American,66,mark jeffrey radford,,
Backcourt,American,61,mark price,,
,American,75,marvin roberts,,
,American,24,max berning fiedler,,
,American,34,michael carter-williams,,
Backcourt,American,49,miles julian simon,,
Frontcourt,American,67,"monti davis damon william ""monti"" davis",,
Backcourt,American,37,mychel thompson,,
,American,50,nathaniel thomas huffman,,
Backcourt,Greek-American,36,nicholas william calathes,,
,British,28,"ogugua ""og"" anunoby",,
,American,35,paul clifton anthony george,,
Frontcourt,American,80,philip douglas jackson,,
,American,52,rick hughes,,
Frontcourt,Dutch,59,rik smits,,
Backcourt,,73,rod derline,,
,American,59,rodney strickland,,
Backcourt,American,37,ronald moore,,
,American,53,shawn christopher respert,,
Frontcourt,American,60,steve kerr,,
Backcourt,American,56,steve smith,,
Frontcourt,American,50,tim duncan,,
Frontcourt,American,83,toby kimball,,
,American,61,tom copa,,
,American,51,tony lorenzo delk,,
,American,25,trayce jackson-davis,,
Backcourt,American,65,trent tucker,,
Backcourt,American,60,vernon maxwell,,
Frontcourt,French,21,victor wembanyama,,
Frontcourt,American,61,walter berry,,
Backcourt,American,37,wardell stephen curry,,
Frontcourt,American,61,william bedford,,
