founded_year,ownership,name
1946,Atlanta Spirit LLC,Atlanta Hawks
1946,null,Boston Celtics
1967,Joseph Tsai,Brooklyn Nets
1988,Gabe Plotkin and Rick Schnall,Charlotte Hornets
1966,null,Chicago Bulls
1970,Dan Gilbert,Cleveland Cavaliers
1980,Miriam Adelson and Patrick Dumont,Dallas Mavericks
1967,null,Denver Nuggets
1937,null,Detroit Pistons
1946,null,Golden State Warriors
1967,null,Houston Rockets
1967,null,Indiana Pacers
1970,Steve Ballmer,Los Angeles Clippers
1946,Jerry Buss,Los Angeles Lakers
1995,Robert J. Pera,Memphis Grizzlies
1988,Micky Arison,Miami Heat
1968,Wes Edens and Marc Lasry,Milwaukee Bucks
1989,Glen Taylor,Minnesota Timberwolves
2002,Gayle Benson,New Orleans Pelicans
1946,James L. Dolan,New York Knicks
1967,"Professional Basketball Club LLC, a group of Oklahoma City investors led by Clay Bennett",Oklahoma City Thunder
1989,null,Orlando Magic
1946,Harris Blitzer Sports & Entertainment (HBSE),Philadelphia 76ers
1968,null,Phoenix Suns
1970,Paul Allen,Portland Trail Blazers
1923,null,Sacramento Kings
1967,null,San Antonio Spurs
1995,null,Toronto Raptors
1974,null,Utah Jazz
1961,Ted Leonsis,Washington Wizards
