area,city_name,gdp,population,state_name
99025.0,Denver,,715522.0,Colorado
89.63,Boston,,675647.0,Massachusetts
,Indianapolis,184400000000.0,887642.0,Indiana
,Dallas,,1304379.0,Texas
,San Antonio,,1434625.0,Texas
,Los Angeles,,,California
,Minneapolis,,369000.0,Minnesota
,Miami,257000000000.0,,Florida
9.1,Inglewood,,107762.0,California
,Portland,,1800000.0,Oregon
46.9,San Francisco,252200000000.0,873965.0,
,Philadelphia,518.5,1603797.0,Pennsylvania
,New Orleans,,383997.0,Louisiana
,Chicago,689000000000.0,2746388.0,Illinois
,Orlando,,307573.0,Florida
110.4,Salt Lake City,,200133.0,Utah
,Toronto,,2794356.0,Ontario
,Phoenix,,,Arizona
,Washington,,,
,Cleveland,,372624.0,Ohio
,Houston,,2314157.0,Texas
100.1,Sacramento,,466488.0,California
,Detroit,,,Michigan
,Memphis,,633104.0,Tennessee
312.0,Charlotte,,874579.0,North Carolina
,New York City,,,
,Oklahoma City,,,Oklahoma
96.8,Milwaukee,102000000000.0,594833.0,Wisconsin
,Atlanta,385000000000.0,510823.0,Georgia
