age,name,nationality,nba_team,own_year
,Tom Gores,American,,1995.0
,Dan Gilbert,,,2005.0
,Steve Ballmer,American,,
,Dan DeVos,American,Orlando Magic,1991.0
,Mark Cuban,American,Oklahoma City Thunder (as of provided information),2000.0
,Tilman Joseph Fertitta,American,Houston Rockets,2017.0
,Joseph Tsai,Taiwanese,Brooklyn Nets,2019.0
,Clay Bennett,,Oklahoma City Thunder,2006.0
,Herbert A. Simon,American,Indiana Pacers,1983.0
,Jerry Reinsdorf,American,Chicago Bulls,1985.0
,Gayle Marie LaJaunie Bird Benson,American,"New Orleans Saints, New Orleans Pelicans",2014.0
,Stan Kroenke,American,Denver Nuggets,2000.0
,Joshua Jordan Harris,American,,1990.0
,James L. Dolan,American,,
,Micky Arison,Israeli-American,Miami Heat,1995.0
,Joseph Steven Lacob,American,Golden State Warriors,2010.0
