age,birth_date,college,draft_pick,name,nationality,position,team
,1994-02-02,Southeast Missouri State University,,Antonius Cleveland,American,,"Lokomotiv Kuban||Portland Trail Blazers||Golden State Warriors (training camp)||Dallas Mavericks||Santa Cruz Warriors||Chicago Bulls||Atlanta Hawks||Oklahoma City Thunder (waived)||Illawarra Hawks||Chicago Bulls (claimed off waivers)||Santa Cruz Warriors (2018-19 season)||Dallas Mavericks (2019, two-way contract)||Oklahoma City Blue||Adelaide 36ers||Maccabi Tel Aviv"
,1959-06-10,Michigan State University,24.0,Jay Fletcher Vincent,United States,forward,Dallas Mavericks||Washington Bullets||Denver Nuggets||San Antonio Spurs||Philadelphia 76ers||Los Angeles Lakers
,1994-04-25,,,Nikola Radičević,Serbian,point guard,Cedevita Olimpija
,1922-09-09,Notre Dame,,Francis Hugh Curran Sr.,American,,Rochester Royals
,1964-02-15,Georgia Tech,,William Mark Price,American,,Charlotte 49ers||Cleveland Cavaliers||Dallas Mavericks||Golden State Warriors||Orlando Magic
,1994-06-06,,,David Michineau,French,,Bursaspor Basketbol (Basketbol Süper Ligi)||ES Chalon-Sur-Saône (Pro A)||Hyères-Toulon||Levallois Metropolitans||New Orleans Pelicans (NBA)||Los Angeles Clippers (NBA Summer League)||Sacramento Kings (NBA)||Brooklyn Nets (NBA)
,1997-08-07,Alabama Crimson Tide,,Donta Hall,American-born naturalized Azerbaijani,,Saski Baskonia
,,University of Nebraska,,Erick Strickland,,,Dallas Mavericks||New York Knicks||Vancouver Grizzlies||Boston Celtics||Indiana Pacers||Milwaukee Bucks
,1943-12-23,Texas Western College,,David Lattin,American,center,Texas Western Miners||Phoenix Suns||Pittsburgh Condors||Memphis Tams||Harlem Globe Trotters
,1942-09-07,University of Connecticut,,Thomas Kimball,,power forward/center,Boston Celtics||San Diego Rockets||Milwaukee Bucks||Kansas City Kings||Philadelphia 76ers||New Orleans Jazz
,1974-08-03,University of Missouri,,Derek Grimm,American,forward,Sacramento Kings||Dakota Wizards||Gary Steelheads
,,,,Anthony Davis,,,New Orleans Pelicans||Los Angeles Lakers
,1987-10-05,Brentwood Academy,,Brandan Keith Wright,American,,
,1971-12-03,Kansas State University,,Askia Jones,American-Venezuelan,shooting guard,
,1990-08-17,"Millennium High School in Goodyear, Arizona",,Carrick Felix,American,,Cleveland Cavaliers||Utah Jazz||Santa Cruz Warriors||Long Island Nets||Washington Wizards||Melbourne United
,1988-06-01,Jesuit High School||Santa Margarita Catholic High School||Stoneridge Prep,,Mychel Thompson,,,Pepperdine University||Erie BayHawks||Cleveland Cavaliers||New York Knicks||Sioux Falls Skyforce||Santa Cruz Warriors||Minnesota Timberwolves
,1950-01-29,Utah State University,,Marv Roberts,American,,
,1959-09-19,Pan American University,11.0,"Kenneth ""Apple"" Green",American,,New York Knicks||Denver Nuggets||Portland Trail Blazers
,1969-04-18,"University of California, Los Angeles (UCLA)",,Gerald Madkins Jr.,American,,"New York Knicks||Cleveland Cavaliers||Miami Heat||Golden State Warriors||Grand Rapids Hoops||Rockford Lightning||Spain||France||California State University, Stanislaus||UCLA Bruins||New Orleans Hornets||Los Angeles Clippers"
,1930-11-01,Southwest Missouri State University,,Donald Robert Anielak,American,,New York Knicks||St. Peter's High||Ramsey Illinois||Williamsville||Koshkonong High School||North Boone High School
,1945-09-17,,,Phil Jackson,,,
,1969-10-18,Seton Hall University,,Anthony Avent,American,,Atlanta Hawks||Milwaukee Bucks||Orlando Magic||Vancouver Grizzlies||Utah Jazz||Los Angeles Clippers||Panathinaikos||PAOK BC
,1990-07-12,"UCLA Bruins, New Mexico Lobos",,Drew Gordon,American,"Power Forward, Center","Philadelphia 76ers, Dallas Mavericks, Delaware 87ers, Champagne Châlons-Reims, Lietuvos rytas, Zenit Saint Petersburg, Brooklyn Nets (G League), Stelmet Zielona Góra, Avtodor, Lokomotiv Kuban, Rizing Zephyr Fukuoka"
,1983-10-28,Georgia Tech,,Jarrett Jack,American,,
,1973-08-22,Thomas More College,,Rick Hughes,American,,
,1989-02-04,Temple University,,Lavoy Allen,American,,
,,Duquesne,,Ed Dahler,American,,Philadelphia Warriors
,,,,Earvin Johnson Jr.,,,
,,,,Stanley M. Noszka,,,Youngstown Bears||Pittsburgh Ironmen||Boston Celtics
,,Indiana University,,Isiah Thomas,American,,Detroit Pistons||Indiana Pacers||New York Knicks||FIU||Toronto Raptors||NBA TV
,"January 1, 1951",,,Daniel Edward Anderson,American,,"{""ABA"": ""San Diego Conquistadors (1974)"", ""NBA"": ""Portland Trail Blazers (1974-1976)""}"
,,,,Jahlil Okafor,Nigerian-American,,
,1959-12-20,University of Minnesota,,Trent Tucker,American,shooting guard,New York Knicks||San Antonio Spurs||Chicago Bulls
,1968-10-14,University of Florida,,Dwayne Kenneth Schintzius,American,,San Antonio Spurs||Sacramento Kings||New Jersey Nets||Indiana Pacers||Los Angeles Clippers||Boston Celtics||Mobile Revelers||Brevard Blue Ducks
,1975-11-21,University of Arizona,,Miles Julian Simon,"American (father), Norwegian (mother)",Guard,Phoenix Suns||Orlando Magic||Dakota Wizards||South Bay Lakers
,1935-09-01,Temple University,,Guy William Rodgers,American,,Philadelphia Warriors||Chicago Bulls||Milwaukee Bucks
,1965-09-12,University of Florida,,Vernon Maxwell,American,,Houston Rockets||San Antonio Spurs||Denver Nuggets
,1976-04-25,,,Tim Duncan,American,Power Forward,San Antonio Spurs
,1964-05-14,St. John's University,,Walter Berry,American,power forward,Portland Trail Blazers||San Antonio Spurs
,1930-08-29,Stanford University,,James Patrick Walsh,American,forward,Philadelphia Warriors
,1974-01-28,University of Kentucky,16.0,Tony Delk,American,,Charlotte Hornets||Golden State Warriors||Sacramento Kings||Dallas Mavericks||Atlanta Hawks||Detroit Pistons||Panathinaikos
,,,,Calvin Ramsey,,,New York Knicks||St. Louis Hawks
,1930-02-17,,,Eugene Walter Dyker,,forward,Milwaukee Hawks
,1967-07-03,University of Missouri,,Derrick Joseph Chievous,,small forward,
,1966-08-23,Marist College,,Rik Smits,Dutch,,Indiana Pacers
,1998-08-05,Georgia,1.0,Anthony Edwards,American,Shooting Guard,Minnesota Timberwolves
,,,,Harry Gallatin,American,,
,,New York University,,James J. Brasco,,,Syracuse Nationals||Milwaukee Hawks
,1949-08-29,San Jose State University,,Darnell Hillman,,,Golden State Warriors||Indiana Pacers||New Jersey Nets||Denver Nuggets||Kansas City Kings
,,,,Larry Robinson,Canadian,defenceman,Montreal Canadiens||Los Angeles Kings||New Jersey Devils||St. Louis Blues
,1989-02-07,Florida Gators,,Nicholas William Calathes,Greek-American,Point Guard||Shooting Guard||Small Forward,AS Monaco
,1952-03-11,Seattle University,,Rod Derline,,guard,Seattle SuperSonics
,1972-10-04,Texas Christian University,,Kurt Vincent Thomas,American,power forward-center,
,1988-09-29,Texas Longhorns,,Kevin Durant,American,,Phoenix Suns||Golden State Warriors||Brooklyn Nets
,1971-10-02,Xavier University,,Aaron Williams,American,power forward||center,Utah Jazz||Milwaukee Bucks||Denver Nuggets||Vancouver Grizzlies||Seattle SuperSonics||Washington Wizards||New Jersey Nets||Toronto Raptors||New Orleans/Oklahoma City Hornets||Los Angeles Clippers
,1975-04-02,Lakeview High School||Lansing Community College||Central Michigan University,,Nathaniel Thomas Huffman,,,Maccabi Tel Aviv||Los Angeles Clippers||Idaho Stampede||Baloncesto Fuenlabrada||Toronto Raptors
,,Oregon State University,,Freddie L. Boyd,American,,Philadelphia 76ers||New Orleans Jazz
,1963-12-14,Memphis State University,,William Bedford,American,center,Phoenix Suns||Detroit Pistons||San Antonio Spurs
,1969-03-31,Michigan State,5.0,Steve Smith,American,,Miami Heat||Portland Trail Blazers||San Antonio Spurs||New Orleans Hornets||Charlotte Bobcats
,1972-02-06,Michigan State,,Shawn Christopher Respert,American,,Portland Trail Blazers||Milwaukee Bucks||Toronto Raptors||Dallas Mavericks||Phoenix Suns||Los Angeles Lakers||Adecco Milano (Italy)||Fillattice Imola (Italy)||Spójnia Stargard Szczeciński (Poland)
,1966-07-11,DePaul University,,Rod Strickland,American,,
,1929-02-03,Bradley University,,Elmer H. Behnke,,,Rochester Royals||Milwaukee Hawks
