championship,founded_year,location,ownership,team_name
,1946,Atlanta,"Tony Ressler (majority stake), Grant Hill, Steven Price, Rick Schnall, Sara Blakely, Jesse Itzler, Jami Gertz (minority stakes)",Atlanta Hawks
18,1946,Boston,,Celtics
,1967,New York City borough of Brooklyn,Joseph Tsai (NBA Governor),Brooklyn Nets
,1988,"Charlotte, North Carolina","Multiple owners over time including George Shinn, Michael Jordan, Robert L. Johnson, and others",Hornets
1991||1992||1997||1998||1999||2000,1966,Chicago,,Bulls
2016,1970,Cleveland,"{""George and Gordon Gund"": {""years"": [1983, 2023]}, ""Ted Stepien"": {""years"": [1980, 1983]}}",Cleveland Cavaliers
2011,1980,Dallas,Don Carter||James Garner||Norm Sonju,Mavericks
,1967,Denver,Stan Kroenke (as of 2000),Nuggets
1989||1990||2004,1937,Detroit,"Bill Davidson (until 2009), Karen Davidson, Tom Gores",Pistons
1947||1956||2015||2017||2018||2022,1946,San Francisco,,Golden State Warriors
1994||2001,1967,Houston,Leslie Alexander (since 1993),Rockets
1970||1972||1973,1967,Indianapolis,,Indiana Pacers
,1970,Greater Los Angeles area,"Donald Sterling (historically), current ownership details not provided",Los Angeles Clippers
17,1946,Los Angeles,Various owners including Jerry Buss,Lakers
,1995,"Memphis, Tennessee",Robert J. Pera (as of 2019),Memphis Grizzlies
1988–89||2006||2012||2013,1988,Miami,Carnival Cruise Lines (Micky Arison),Miami Heat
1971||2021,1968,Milwaukee,"Wes Edens and Marc Lasry (since April 16, 2014)",Bucks
,1989,Minneapolis,Glen Taylor,Minnesota Timberwolves
,2002,New Orleans,Gayle Benson,Pelicans
,1946,New York City,,Knicks
,1967,Oklahoma City,,Oklahoma City Thunder
,1989,"Orlando, Florida",Rich DeVos (and his children),Orlando Magic
1955||1967||1983,1946,Philadelphia metropolitan area,Harris Blitzer Sports & Entertainment (HBSE),Philadelphia 76ers
,1968,"Phoenix, Arizona",Karl Eller||Donald Pitt||Don Diamond||Bhavik Darji||Marvin Meyer||Richard L. Bloch||Andy Williams||Bobbie Gentry||Ed Ames,Suns
1977,1970,"Portland, Oregon",Paul Allen (since 1988),Portland Trail Blazers
1951,1923,"Sacramento, California",,Sacramento Kings
1999||2003||2005||2007||2014,1973,San Antonio,,San Antonio Spurs
2019,1995,Toronto,,Raptors
,1974,Salt Lake City,Larry H. Miller,Utah Jazz
1978,1961,"Washington, D.C.",,Wizards
